date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,2885484,0,2885484
2026-06-22T12:42:00Z,2886079,0,2886079
2026-06-23T10:27:37Z,2886519,0,2886519
2026-06-24T10:12:27Z,2887036,0,2887036
2026-06-25T10:10:12Z,2887560,0,2887560
2026-06-26T10:12:43Z,2888069,0,2888069
2026-06-27T09:21:34Z,2888587,0,2888587
2026-06-28T09:51:41Z,2889226,0,2889226
2026-06-29T11:52:16Z,2889869,0,2889869
2026-06-30T10:23:41Z,2890391,0,2890391
2026-07-01T10:36:49Z,2890932,0,2890932
2026-07-02T09:51:03Z,2891463,0,2891463
2026-07-03T09:48:51Z,2891964,0,2891964
2026-07-04T09:12:31Z,2892376,0,2892376
2026-07-05T09:33:11Z,2892910,0,2892910
2026-07-06T11:21:24Z,2893544,0,2893544
2026-07-07T10:17:38Z,2894043,0,2894043
2026-07-08T09:19:28Z,2894533,0,2894533
2026-07-09T10:17:37Z,2895064,0,2895064
2026-07-10T10:13:39Z,2895565,0,2895565
2026-07-11T08:41:48Z,2896111,0,2896111
2026-07-12T08:57:07Z,2896683,0,2896683
2026-07-13T10:15:20Z,2897312,0,2897312
2026-07-14T08:58:10Z,2897880,0,2897880
2026-07-15T09:04:12Z,2898506,0,2898506
2026-07-16T09:07:37Z,2899242,0,2899242
2026-07-17T09:02:27Z,2899922,0,2899922
