date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,8309112,1354880,9663992
2026-06-22T12:42:00Z,8318368,1357772,9676140
2026-06-23T10:27:37Z,8325351,1359987,9685338
2026-06-24T10:12:27Z,8332809,1362237,9695046
2026-06-25T10:10:12Z,8340080,1364635,9704715
2026-06-26T10:12:43Z,8349298,1366910,9716208
2026-06-27T09:21:34Z,8356304,1369291,9725595
2026-06-28T09:51:41Z,8365927,1372124,9738051
2026-06-29T11:52:16Z,8377828,1375044,9752872
2026-06-30T10:23:41Z,8387111,1377533,9764644
2026-07-01T10:36:49Z,8394529,1380156,9774685
2026-07-02T09:51:03Z,8401874,1382629,9784503
2026-07-03T09:48:51Z,8408978,1384992,9793970
2026-07-04T09:12:31Z,8415517,1387460,9802977
2026-07-05T09:33:11Z,8426354,1390204,9816558
2026-07-06T11:21:24Z,8437627,1393083,9830710
2026-07-07T10:17:38Z,0,1395460,1395460
2026-07-08T09:19:28Z,0,1397837,1397837
2026-07-09T10:17:37Z,0,1400562,1400562
2026-07-10T10:13:39Z,0,1403029,1403029
2026-07-11T08:41:48Z,0,1405635,1405635
2026-07-12T08:57:07Z,0,1408598,1408598
2026-07-13T10:15:20Z,0,1411498,1411498
2026-07-14T08:58:10Z,0,1413932,1413932
2026-07-15T09:04:12Z,0,1416501,1416501
2026-07-16T09:07:37Z,0,1419143,1419143
2026-07-17T09:02:27Z,0,1421689,1421689
2026-07-18T08:31:28Z,0,1424049,1424049
2026-07-19T09:00:54Z,0,1426646,1426646
2026-07-20T09:48:57Z,0,1429675,1429675
2026-07-21T09:21:57Z,0,1432523,1432523
2026-07-22T09:20:59Z,0,1435325,1435325
2026-07-23T09:17:24Z,0,1438414,1438414
2026-07-24T09:14:12Z,0,1441449,1441449
2026-07-25T08:53:50Z,0,1444344,1444344
2026-07-26T09:06:44Z,0,1447447,1447447
2026-07-27T10:31:23Z,0,1450836,1450836
2026-07-28T09:29:59Z,0,1454226,1454226
2026-07-29T09:31:50Z,0,1457561,1457561
2026-07-30T09:24:27Z,0,1460893,1460893
2026-07-31T09:36:03Z,0,1464210,1464210
2026-08-01T08:59:31Z,0,1467106,1467106
2026-08-02T09:04:20Z,0,1470504,1470504
2026-08-03T10:31:30Z,0,1474235,1474235
2026-08-04T09:32:33Z,0,1477198,1477198
2026-08-05T09:29:25Z,0,1480350,1480350
2026-08-06T09:33:57Z,0,1483270,1483270
2026-08-07T08:04:52Z,0,1486094,1486094
2026-08-08T07:39:38Z,0,1493355,1493355
2026-08-09T07:43:35Z,0,1500507,1500507
2026-08-10T08:20:16Z,0,1506986,1506986
2026-08-11T08:01:46Z,0,1512376,1512376
2026-08-12T12:16:43Z,0,1518533,1518533
2026-08-13T08:10:06Z,0,1523007,1523007
2026-08-14T08:06:05Z,0,1528007,1528007
2026-08-15T07:21:01Z,0,1532649,1532649
2026-08-16T07:22:07Z,0,1537944,1537944
2026-08-17T07:41:53Z,0,1543153,1543153
2026-08-18T07:27:47Z,0,1547943,1547943
