date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,2730891,0,2730891
2026-06-22T12:42:00Z,2733508,0,2733508
2026-06-23T10:27:37Z,2735568,0,2735568
2026-06-24T10:12:27Z,2737732,0,2737732
2026-06-25T10:10:12Z,2739626,0,2739626
2026-06-26T10:12:43Z,2741757,0,2741757
2026-06-27T09:21:34Z,2743789,0,2743789
2026-06-28T09:51:41Z,2746257,0,2746257
2026-06-29T11:52:16Z,2748758,0,2748758
2026-06-30T10:23:41Z,2750750,0,2750750
2026-07-01T10:36:49Z,2752773,0,2752773
2026-07-02T09:51:03Z,2754830,0,2754830
2026-07-03T09:48:51Z,2756789,0,2756789
2026-07-04T09:12:31Z,2758404,0,2758404
2026-07-05T09:33:11Z,2760422,0,2760422
2026-07-06T11:21:24Z,2762578,0,2762578
2026-07-07T10:17:38Z,2764282,0,2764282
2026-07-08T09:19:28Z,2766160,0,2766160
2026-07-09T10:17:37Z,2767943,0,2767943
2026-07-10T10:13:39Z,2769721,0,2769721
2026-07-11T08:41:48Z,2771538,0,2771538
2026-07-12T08:57:07Z,2773334,0,2773334
2026-07-13T10:15:20Z,2775337,0,2775337
2026-07-14T08:58:10Z,2777116,0,2777116
2026-07-15T09:04:12Z,2778661,0,2778661
