date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,4993,0,4993
2026-06-22T12:42:00Z,4993,0,4993
2026-06-23T10:27:37Z,4995,0,4995
2026-06-24T10:12:27Z,4996,0,4996
2026-06-25T10:10:12Z,4996,0,4996
2026-06-26T10:12:43Z,4999,0,4999
2026-06-27T09:21:34Z,5000,0,5000
2026-06-28T09:51:41Z,5003,0,5003
2026-06-29T11:52:16Z,5006,0,5006
2026-06-30T10:23:41Z,5010,0,5010
2026-07-01T10:36:49Z,5010,0,5010
2026-07-02T09:51:03Z,5011,0,5011
2026-07-03T09:48:51Z,5013,0,5013
2026-07-04T09:12:31Z,5015,0,5015
2026-07-05T09:33:11Z,5016,0,5016
2026-07-06T11:21:24Z,5016,0,5016
2026-07-07T10:17:38Z,5017,0,5017
2026-07-08T09:19:28Z,5020,0,5020
2026-07-09T10:17:37Z,5020,0,5020
2026-07-10T10:13:39Z,5022,0,5022
2026-07-11T08:41:48Z,5023,0,5023
