date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,13179398,1337873,14517271
2026-06-22T12:42:00Z,13218978,1343165,14562143
2026-06-23T10:27:37Z,13248691,1347423,14596114
2026-06-24T10:12:27Z,13287166,1351618,14638784
2026-06-25T10:10:12Z,13326114,1355637,14681751
2026-06-26T10:12:43Z,13364855,1359465,14724320
2026-06-27T09:21:34Z,13403174,1363625,14766799
2026-06-28T09:51:41Z,13448529,1368868,14817397
2026-06-29T11:52:16Z,13494117,1374147,14868264
2026-06-30T10:23:41Z,13525883,1378221,14904104
2026-07-01T10:36:49Z,13559667,1382851,14942518
2026-07-02T09:51:03Z,13593136,1387052,14980188
2026-07-03T09:48:51Z,13625646,1391433,15017079
2026-07-04T09:12:31Z,13654149,1396625,15050774
2026-07-05T09:33:11Z,13691323,1402009,15093332
2026-07-06T11:21:24Z,13732269,1408039,15140308
2026-07-07T10:17:38Z,13766888,1413059,15179947
2026-07-08T09:19:28Z,13802295,1418209,15220504
2026-07-09T10:17:37Z,13836802,1423693,15260495
2026-07-10T10:13:39Z,13869280,1428817,15298097
2026-07-11T08:41:48Z,13901101,1433709,15334810
2026-07-12T08:57:07Z,13937699,1439380,15377079
2026-07-13T10:15:20Z,13976058,1445309,15421367
2026-07-14T08:58:10Z,14009048,1450372,15459420
