date,downloads_cf,downloads_mr,downloads_total
2026-08-12T12:16:43Z,8481,2249,10730
2026-08-13T08:10:06Z,9844,2588,12432
2026-08-14T08:06:05Z,14686,2854,17540
2026-08-15T07:21:01Z,22016,3129,25145
2026-08-16T07:22:07Z,30345,3435,33780
2026-08-17T07:41:53Z,38897,3755,42652
2026-08-18T07:27:47Z,46068,4051,50119
2026-08-19T07:29:00Z,53124,4300,57424
2026-08-20T07:31:22Z,60395,4825,65220
2026-08-21T07:33:53Z,67673,5313,72986
2026-08-22T07:22:03Z,75850,6065,81915
2026-08-23T07:23:51Z,85885,6749,92634
2026-08-24T07:48:28Z,95489,7245,102734
2026-08-25T07:34:46Z,104056,7631,111687
2026-08-26T07:36:16Z,113318,7981,121299
