date,downloads_cf,downloads_mr,downloads_total
2026-08-12T12:16:43Z,6719,1631,8350
2026-08-13T08:10:06Z,7855,1889,9744
2026-08-14T08:06:05Z,12439,2110,14549
2026-08-15T07:21:01Z,19596,2359,21955
2026-08-16T07:22:07Z,27705,2588,30293
2026-08-17T07:41:53Z,35942,2829,38771
2026-08-18T07:27:47Z,42861,3053,45914
2026-08-19T07:29:00Z,49659,3291,52950
2026-08-20T07:31:22Z,56421,3694,60115
2026-08-21T07:33:53Z,63129,4014,67143
2026-08-22T07:22:03Z,70165,4376,74541
2026-08-23T07:23:51Z,79083,4775,83858
2026-08-24T07:48:28Z,87970,5161,93131
2026-08-25T07:34:46Z,96071,5433,101504
2026-08-26T07:36:16Z,104958,5681,110639
2026-08-27T17:57:35Z,117189,5983,123172
2026-08-28T19:07:47Z,125373,6189,131562
2026-08-29T12:52:05Z,133162,6348,139510
2026-08-30T12:23:12Z,146536,6637,153173
2026-08-31T14:32:43Z,161914,6995,168909
2026-09-01T12:12:23Z,171196,7249,178445
2026-09-02T11:49:17Z,179919,7705,187624
2026-09-03T11:49:33Z,190610,8430,199040
2026-09-04T11:51:00Z,203159,9164,212323
2026-09-05T11:00:08Z,216235,10056,226291
2026-09-06T11:24:44Z,229564,11097,240661
2026-09-07T13:06:15Z,242931,12177,255108
2026-09-08T11:51:37Z,255264,13007,268271
2026-09-09T12:01:55Z,266115,13741,279856
2026-09-10T11:56:20Z,275786,14345,290131
2026-09-11T11:55:20Z,285206,15101,300307
2026-09-12T11:21:39Z,296115,15930,312045
2026-09-13T12:25:20Z,311768,16940,328708
2026-09-14T13:27:29Z,324751,17818,342569
2026-09-15T12:19:40Z,333607,18435,352042
2026-09-16T12:17:21Z,341994,19049,361043
2026-09-17T12:17:11Z,349594,19605,369199
2026-09-18T11:57:35Z,358976,20158,379134
2026-09-19T11:41:31Z,373968,21038,395006
2026-09-20T11:54:45Z,391041,21933,412974
2026-09-21T13:26:52Z,405356,22641,427997
2026-09-22T12:11:19Z,414770,23252,438022
2026-09-23T12:23:41Z,424017,23777,447794
2026-09-24T12:23:13Z,432433,24376,456809
2026-09-25T12:23:16Z,441384,24935,466319
2026-09-26T11:54:52Z,453096,25597,478693
