date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,6773105,0,6773105
2026-06-22T12:42:00Z,6773574,0,6773574
2026-06-23T10:27:37Z,6773925,0,6773925
2026-06-24T10:12:27Z,6774356,0,6774356
2026-06-25T10:10:12Z,6774744,0,6774744
2026-06-26T10:12:43Z,6775167,0,6775167
2026-06-27T09:21:34Z,6775531,0,6775531
2026-06-28T09:51:41Z,6776064,0,6776064
2026-06-29T11:52:16Z,6776543,0,6776543
2026-06-30T10:23:41Z,6776985,0,6776985
2026-07-01T10:36:49Z,6777374,0,6777374
2026-07-02T09:51:03Z,6777772,0,6777772
