date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,1638,0,1638
2026-06-22T12:42:00Z,1639,0,1639
2026-06-23T10:27:37Z,1639,0,1639
2026-06-24T10:12:27Z,1639,0,1639
2026-06-25T10:10:12Z,1639,0,1639
2026-06-26T10:12:43Z,1639,0,1639
2026-06-27T09:21:34Z,1639,0,1639
2026-06-28T09:51:41Z,1639,0,1639
2026-06-29T11:52:16Z,1639,0,1639
2026-06-30T10:23:41Z,1639,0,1639
2026-07-01T10:36:49Z,1639,0,1639
2026-07-02T09:51:03Z,1639,0,1639
2026-07-03T09:48:51Z,1639,0,1639
2026-07-04T09:12:31Z,1639,0,1639
2026-07-05T09:33:11Z,1639,0,1639
2026-07-06T11:21:24Z,1639,0,1639
2026-07-07T10:17:38Z,1639,0,1639
2026-07-08T09:19:28Z,1639,0,1639
2026-07-09T10:17:37Z,1640,0,1640
2026-07-10T10:13:39Z,1641,0,1641
2026-07-11T08:41:48Z,1641,0,1641
2026-07-12T08:57:07Z,1641,0,1641
2026-07-13T10:15:20Z,1641,0,1641
2026-07-14T08:58:10Z,1641,0,1641
2026-07-15T09:04:12Z,1641,0,1641
2026-07-16T09:07:37Z,1641,0,1641
2026-07-17T09:02:27Z,1641,0,1641
2026-07-18T08:31:28Z,1641,0,1641
2026-07-19T09:00:54Z,1641,0,1641
2026-07-20T09:48:57Z,1641,0,1641
2026-07-21T09:21:57Z,1641,0,1641
2026-07-22T09:20:59Z,1641,0,1641
2026-07-23T09:17:24Z,1641,0,1641
2026-07-24T09:14:12Z,1641,0,1641
2026-07-25T08:53:50Z,1641,0,1641
2026-07-26T09:06:44Z,1641,0,1641
2026-07-27T10:31:23Z,1641,0,1641
2026-07-28T09:29:59Z,1641,0,1641
2026-07-29T09:31:50Z,1642,0,1642
2026-07-30T09:24:27Z,1642,0,1642
2026-07-31T09:36:03Z,1643,0,1643
2026-08-01T08:59:31Z,1644,0,1644
2026-08-02T09:04:20Z,1646,0,1646
2026-08-03T10:31:30Z,1648,0,1648
2026-08-04T09:32:33Z,1648,0,1648
2026-08-05T09:29:25Z,1649,0,1649
2026-08-06T09:33:57Z,1650,0,1650
2026-08-07T08:04:52Z,1651,0,1651
2026-08-08T07:39:38Z,1651,0,1651
2026-08-09T07:43:35Z,1651,0,1651
2026-08-10T08:20:16Z,1651,0,1651
2026-08-11T08:01:46Z,1651,0,1651
2026-08-12T12:16:43Z,1651,0,1651
2026-08-13T08:10:06Z,1651,0,1651
2026-08-14T08:06:05Z,1652,0,1652
2026-08-15T07:21:01Z,1652,0,1652
2026-08-16T07:22:07Z,1652,0,1652
2026-08-17T07:41:53Z,1653,0,1653
2026-08-18T07:27:47Z,1653,0,1653
2026-08-19T07:29:00Z,1653,0,1653
2026-08-20T07:31:22Z,1653,0,1653
2026-08-21T07:33:53Z,1653,0,1653
2026-08-22T07:22:03Z,1653,0,1653
2026-08-23T07:23:51Z,1653,0,1653
2026-08-24T07:48:28Z,1653,0,1653
2026-08-25T07:34:46Z,1653,0,1653
2026-08-26T07:36:16Z,1653,0,1653
