date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,0,2058469,2058469
2026-06-22T12:42:00Z,0,2062973,2062973
2026-06-23T10:27:37Z,0,2066272,2066272
2026-06-24T10:12:27Z,0,2069609,2069609
2026-06-25T10:10:12Z,0,2073041,2073041
2026-06-26T10:12:43Z,0,2076229,2076229
2026-06-27T09:21:34Z,0,2080071,2080071
2026-06-28T09:51:41Z,0,2084560,2084560
2026-06-29T11:52:16Z,0,2088933,2088933
2026-06-30T10:23:41Z,0,2092368,2092368
2026-07-01T10:36:49Z,0,2095980,2095980
2026-07-02T09:51:03Z,0,2099530,2099530
2026-07-03T09:48:51Z,0,2103248,2103248
2026-07-04T09:12:31Z,0,2107215,2107215
2026-07-05T09:33:11Z,0,2111560,2111560
2026-07-06T11:21:24Z,0,2115984,2115984
2026-07-07T10:17:38Z,0,2119647,2119647
2026-07-08T09:19:28Z,0,2123371,2123371
2026-07-09T10:17:37Z,0,2127211,2127211
2026-07-10T10:13:39Z,0,2131158,2131158
2026-07-11T08:41:48Z,0,2134782,2134782
2026-07-12T08:57:07Z,0,2139310,2139310
2026-07-13T10:15:20Z,0,2143905,2143905
2026-07-14T08:58:10Z,0,2147777,2147777
2026-07-15T09:04:12Z,0,2151727,2151727
2026-07-16T09:07:37Z,0,2155595,2155595
2026-07-17T09:02:27Z,0,2159656,2159656
2026-07-18T08:31:28Z,0,2163236,2163236
2026-07-19T09:00:54Z,0,2167174,2167174
2026-07-20T09:48:57Z,0,2171814,2171814
2026-07-21T09:21:57Z,0,2175914,2175914
2026-07-22T09:20:59Z,0,2179863,2179863
2026-07-23T09:17:24Z,0,2183856,2183856
2026-07-24T09:14:12Z,0,2188091,2188091
2026-07-25T08:53:50Z,0,2192440,2192440
2026-07-26T09:06:44Z,0,2197072,2197072
2026-07-27T10:31:23Z,0,2201735,2201735
2026-07-28T09:29:59Z,0,2206061,2206061
2026-07-29T09:31:50Z,0,2210403,2210403
2026-07-30T09:24:27Z,0,2214443,2214443
2026-07-31T09:36:03Z,0,2218792,2218792
2026-08-01T08:59:31Z,0,2222827,2222827
2026-08-02T09:04:20Z,0,2227993,2227993
2026-08-03T10:31:30Z,0,2233516,2233516
2026-08-04T09:32:33Z,0,2237759,2237759
2026-08-05T09:29:25Z,0,2242667,2242667
2026-08-06T09:33:57Z,0,2247323,2247323
2026-08-07T08:04:52Z,0,2251684,2251684
2026-08-08T07:39:38Z,0,2256868,2256868
2026-08-09T07:43:35Z,0,2262332,2262332
2026-08-10T08:20:16Z,0,2267211,2267211
2026-08-11T08:01:46Z,0,2271700,2271700
2026-08-12T12:16:43Z,0,2277312,2277312
2026-08-13T08:10:06Z,0,2280772,2280772
2026-08-14T08:06:05Z,0,2285221,2285221
2026-08-15T07:21:01Z,0,2289559,2289559
2026-08-16T07:22:07Z,0,2294119,2294119
2026-08-17T07:41:53Z,0,2298394,2298394
2026-08-18T07:27:47Z,0,2302848,2302848
2026-08-19T07:29:00Z,0,2307216,2307216
2026-08-20T07:31:22Z,0,2311381,2311381
2026-08-21T07:33:53Z,0,2315488,2315488
2026-08-22T07:22:03Z,0,2319671,2319671
2026-08-23T07:23:51Z,0,2324035,2324035
2026-08-24T07:48:28Z,0,2328400,2328400
2026-08-25T07:34:46Z,0,2332193,2332193
