date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,32988150,1241380,34229530
2026-06-22T12:42:00Z,33002154,1242464,34244618
2026-06-23T10:27:37Z,33012555,1243355,34255910
2026-06-24T10:12:27Z,33023542,1244209,34267751
2026-06-25T10:10:12Z,33034057,1245180,34279237
2026-06-26T10:12:43Z,33045028,1245990,34291018
2026-06-27T09:21:34Z,33055783,1246926,34302709
2026-06-28T09:51:41Z,33068927,1248099,34317026
2026-06-29T11:52:16Z,33082671,1249221,34331892
2026-06-30T10:23:41Z,33093577,1250219,34343796
2026-07-01T10:36:49Z,33104785,1251252,34356037
2026-07-02T09:51:03Z,33116120,1252186,34368306
2026-07-03T09:48:51Z,33127244,1253212,34380456
2026-07-04T09:12:31Z,33136587,1254229,34390816
2026-07-05T09:33:11Z,33148412,1255283,34403695
2026-07-06T11:21:24Z,33161962,1256329,34418291
2026-07-07T10:17:38Z,33172498,1257319,34429817
2026-07-08T09:19:28Z,33183919,1258286,34442205
2026-07-09T10:17:37Z,33195191,1259411,34454602
2026-07-10T10:13:39Z,33206411,1260432,34466843
2026-07-11T08:41:48Z,33217423,1261370,34478793
2026-07-12T08:57:07Z,33229806,1262472,34492278
2026-07-13T10:15:20Z,33242672,1263613,34506285
2026-07-14T08:58:10Z,33253702,1264628,34518330
2026-07-15T09:04:12Z,33264706,1265733,34530439
2026-07-16T09:07:37Z,33275408,1266717,34542125
2026-07-17T09:02:27Z,33286515,1267739,34554254
2026-07-18T08:31:28Z,33297733,1268603,34566336
2026-07-19T09:00:54Z,33310922,1269611,34580533
2026-07-20T09:48:57Z,33323372,1270668,34594040
2026-07-21T09:21:57Z,33334492,1271790,34606282
2026-07-22T09:20:59Z,33346141,1272857,34618998
2026-07-23T09:17:24Z,0,1273871,1273871
2026-07-24T09:14:12Z,33368536,1274903,34643439
2026-07-25T08:53:50Z,33380182,1275947,34656129
2026-07-26T09:06:44Z,33393905,1276992,34670897
2026-07-27T10:31:23Z,33408824,1278145,34686969
2026-07-28T09:29:59Z,33421547,1279085,34700632
2026-07-29T09:31:50Z,33434029,1280117,34714146
2026-07-30T09:24:27Z,33445819,1281143,34726962
2026-07-31T09:36:03Z,33457333,1282165,34739498
2026-08-01T08:59:31Z,33468925,1283108,34752033
2026-08-02T09:04:20Z,33481385,1284028,34765413
2026-08-03T10:31:30Z,33494819,1285096,34779915
2026-08-04T09:32:33Z,33506164,1286053,34792217
2026-08-05T09:29:25Z,33517461,1286970,34804431
2026-08-06T09:33:57Z,33528758,1287954,34816712
2026-08-07T08:04:52Z,33539771,1288828,34828599
2026-08-08T07:39:38Z,33551141,1289779,34840920
2026-08-09T07:43:35Z,33563254,1290761,34854015
2026-08-10T08:20:16Z,33576002,1291765,34867767
2026-08-11T08:01:46Z,33587248,1292693,34879941
2026-08-12T12:16:43Z,33599131,1293765,34892896
2026-08-13T08:10:06Z,33607854,1294408,34902262
2026-08-14T08:06:05Z,33618025,1295248,34913273
2026-08-15T07:21:01Z,33628198,1296097,34924295
2026-08-16T07:22:07Z,33640497,1296978,34937475
2026-08-17T07:41:53Z,33653603,1297936,34951539
2026-08-18T07:27:47Z,33664143,1298848,34962991
2026-08-19T07:29:00Z,33674175,1299736,34973911
2026-08-20T07:31:22Z,33684396,1300582,34984978
2026-08-21T07:33:53Z,33694225,1301432,34995657
2026-08-22T07:22:03Z,33704756,1302318,35007074
2026-08-23T07:23:51Z,33717360,1303239,35020599
2026-08-24T07:48:28Z,33731487,1304170,35035657
2026-08-25T07:34:46Z,33742046,1305037,35047083
2026-08-26T07:36:16Z,33752328,1305926,35058254
2026-08-27T17:57:35Z,33766585,1307055,35073640
2026-08-28T19:07:47Z,33776635,1307879,35084514
2026-08-29T12:52:05Z,33784960,1308406,35093366
2026-08-30T12:23:12Z,33796922,1309353,35106275
2026-08-31T14:32:43Z,33810136,1310381,35120517
2026-09-01T12:12:23Z,33818772,1310994,35129766
