date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,11970220,483655,12453875
2026-06-22T12:42:00Z,11987512,486294,12473806
2026-06-23T10:27:37Z,12000462,488175,12488637
2026-06-24T10:12:27Z,12019430,490267,12509697
2026-06-25T10:10:12Z,12036880,492402,12529282
2026-06-26T10:12:43Z,12053195,494302,12547497
2026-06-27T09:21:34Z,12074326,496279,12570605
2026-06-28T09:51:41Z,12099316,498591,12597907
2026-06-29T11:52:16Z,12124853,501007,12625860
2026-06-30T10:23:41Z,12143626,503176,12646802
2026-07-01T10:36:49Z,12162705,505669,12668374
2026-07-02T09:51:03Z,12180903,508448,12689351
2026-07-03T09:48:51Z,12198338,511596,12709934
2026-07-04T09:12:31Z,12213036,514475,12727511
2026-07-05T09:33:11Z,12231248,518588,12749836
2026-07-06T11:21:24Z,12251119,522195,12773314
2026-07-07T10:17:38Z,12267601,524927,12792528
2026-07-08T09:19:28Z,12282666,527732,12810398
2026-07-09T10:17:37Z,12296313,530488,12826801
2026-07-10T10:13:39Z,12309475,532994,12842469
2026-07-11T08:41:48Z,12322248,535432,12857680
