date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,2835,0,2835
2026-06-22T12:42:00Z,2835,0,2835
2026-06-23T10:27:37Z,2835,0,2835
2026-06-24T10:12:27Z,2835,0,2835
2026-06-25T10:10:12Z,2835,0,2835
2026-06-26T10:12:43Z,2835,0,2835
2026-06-27T09:21:34Z,2837,0,2837
2026-06-28T09:51:41Z,2837,0,2837
2026-06-29T11:52:16Z,2837,0,2837
2026-06-30T10:23:41Z,2837,0,2837
2026-07-01T10:36:49Z,2837,0,2837
2026-07-02T09:51:03Z,2837,0,2837
2026-07-03T09:48:51Z,2837,0,2837
2026-07-04T09:12:31Z,2837,0,2837
2026-07-05T09:33:11Z,2837,0,2837
2026-07-06T11:21:24Z,2837,0,2837
2026-07-07T10:17:38Z,2838,0,2838
2026-07-08T09:19:28Z,2838,0,2838
2026-07-09T10:17:37Z,2838,0,2838
2026-07-10T10:13:39Z,2838,0,2838
2026-07-11T08:41:48Z,2838,0,2838
2026-07-12T08:57:07Z,2839,0,2839
2026-07-13T10:15:20Z,2840,0,2840
2026-07-14T08:58:10Z,2842,0,2842
2026-07-15T09:04:12Z,2842,0,2842
2026-07-16T09:07:37Z,2844,0,2844
2026-07-17T09:02:27Z,2844,0,2844
2026-07-18T08:31:28Z,2844,0,2844
2026-07-19T09:00:54Z,2845,0,2845
2026-07-20T09:48:57Z,2845,0,2845
2026-07-21T09:21:57Z,2845,0,2845
2026-07-22T09:20:59Z,2845,0,2845
2026-07-23T09:17:24Z,2845,0,2845
2026-07-24T09:14:12Z,2845,0,2845
2026-07-25T08:53:50Z,2845,0,2845
2026-07-26T09:06:44Z,2845,0,2845
2026-07-27T10:31:23Z,2845,0,2845
2026-07-28T09:29:59Z,2846,0,2846
2026-07-29T09:31:50Z,2846,0,2846
2026-07-30T09:24:27Z,2846,0,2846
2026-07-31T09:36:03Z,2846,0,2846
2026-08-01T08:59:31Z,2846,0,2846
2026-08-02T09:04:20Z,2846,0,2846
2026-08-03T10:31:30Z,2846,0,2846
2026-08-04T09:32:33Z,2847,0,2847
2026-08-05T09:29:25Z,2860,0,2860
2026-08-06T09:33:57Z,2867,0,2867
2026-08-07T08:04:52Z,2869,0,2869
2026-08-08T07:39:38Z,2869,0,2869
2026-08-09T07:43:35Z,2871,0,2871
2026-08-10T08:20:16Z,2871,0,2871
2026-08-11T08:01:46Z,2872,0,2872
2026-08-12T12:16:43Z,2872,0,2872
2026-08-13T08:10:06Z,2873,0,2873
2026-08-14T08:06:05Z,2873,0,2873
2026-08-15T07:21:01Z,2873,0,2873
2026-08-16T07:22:07Z,2875,0,2875
2026-08-17T07:41:53Z,2875,0,2875
