date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,60341457,0,60341457
2026-06-22T12:42:00Z,60369271,0,60369271
2026-06-23T10:27:37Z,60389460,0,60389460
2026-06-24T10:12:27Z,60408734,0,60408734
2026-06-25T10:10:12Z,60427175,0,60427175
2026-06-26T10:12:43Z,60445789,0,60445789
2026-06-27T09:21:34Z,60464541,0,60464541
2026-06-28T09:51:41Z,60487122,0,60487122
2026-06-29T11:52:16Z,60510558,0,60510558
2026-06-30T10:23:41Z,60529287,0,60529287
2026-07-01T10:36:49Z,60548429,0,60548429
2026-07-02T09:51:03Z,60567779,0,60567779
2026-07-03T09:48:51Z,60586930,0,60586930
2026-07-04T09:12:31Z,60602997,0,60602997
2026-07-05T09:33:11Z,60623551,0,60623551
2026-07-06T11:21:24Z,60647053,0,60647053
2026-07-07T10:17:38Z,60665922,0,60665922
2026-07-08T09:19:28Z,60686018,0,60686018
2026-07-09T10:17:37Z,60705931,0,60705931
2026-07-10T10:13:39Z,60725491,0,60725491
2026-07-11T08:41:48Z,60744695,0,60744695
2026-07-12T08:57:07Z,60765943,0,60765943
2026-07-13T10:15:20Z,60788236,0,60788236
2026-07-14T08:58:10Z,60807669,0,60807669
2026-07-15T09:04:12Z,60827094,0,60827094
2026-07-16T09:07:37Z,60845827,0,60845827
2026-07-17T09:02:27Z,60865294,0,60865294
2026-07-18T08:31:28Z,60885205,0,60885205
2026-07-19T09:00:54Z,60908720,0,60908720
2026-07-20T09:48:57Z,60931216,0,60931216
2026-07-21T09:21:57Z,60951131,0,60951131
2026-07-22T09:20:59Z,60972130,0,60972130
2026-07-23T09:17:24Z,60991999,0,60991999
2026-07-24T09:14:12Z,61011942,0,61011942
2026-07-25T08:53:50Z,61032874,0,61032874
2026-07-26T09:06:44Z,61056578,0,61056578
2026-07-27T10:31:23Z,61082679,0,61082679
2026-07-28T09:29:59Z,61104470,0,61104470
2026-07-29T09:31:50Z,61126495,0,61126495
2026-07-30T09:24:27Z,61147785,0,61147785
2026-07-31T09:36:03Z,61168409,0,61168409
2026-08-01T08:59:31Z,61189418,0,61189418
2026-08-02T09:04:20Z,61212424,0,61212424
2026-08-03T10:31:30Z,61236453,0,61236453
2026-08-04T09:32:33Z,61256606,0,61256606
2026-08-05T09:29:25Z,61276615,0,61276615
2026-08-06T09:33:57Z,61296411,0,61296411
2026-08-07T08:04:52Z,61315881,0,61315881
2026-08-08T07:39:38Z,61336127,0,61336127
2026-08-09T07:43:35Z,61358331,0,61358331
2026-08-10T08:20:16Z,61381882,0,61381882
2026-08-11T08:01:46Z,61402437,0,61402437
2026-08-12T12:16:43Z,61425039,0,61425039
2026-08-13T08:10:06Z,61441427,0,61441427
2026-08-14T08:06:05Z,61460700,0,61460700
2026-08-15T07:21:01Z,61480442,0,61480442
2026-08-16T07:22:07Z,61504132,0,61504132
