date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,179181,0,179181
2026-06-22T12:42:00Z,179208,0,179208
2026-06-23T10:27:37Z,179213,0,179213
2026-06-24T10:12:27Z,179218,0,179218
2026-06-25T10:10:12Z,179223,0,179223
2026-06-26T10:12:43Z,179229,0,179229
2026-06-27T09:21:34Z,179250,0,179250
2026-06-28T09:51:41Z,179259,0,179259
2026-06-29T11:52:16Z,179323,0,179323
2026-06-30T10:23:41Z,179330,0,179330
2026-07-01T10:36:49Z,179332,0,179332
2026-07-02T09:51:03Z,179336,0,179336
2026-07-03T09:48:51Z,179346,0,179346
2026-07-04T09:12:31Z,179353,0,179353
2026-07-05T09:33:11Z,179358,0,179358
2026-07-06T11:21:24Z,179392,0,179392
2026-07-07T10:17:38Z,179394,0,179394
2026-07-08T09:19:28Z,179404,0,179404
2026-07-09T10:17:37Z,179411,0,179411
2026-07-10T10:13:39Z,179420,0,179420
2026-07-11T08:41:48Z,179432,0,179432
2026-07-12T08:57:07Z,179440,0,179440
2026-07-13T10:15:20Z,179445,0,179445
2026-07-14T08:58:10Z,179448,0,179448
2026-07-15T09:04:12Z,179465,0,179465
2026-07-16T09:07:37Z,179468,0,179468
2026-07-17T09:02:27Z,179475,0,179475
2026-07-18T08:31:28Z,179475,0,179475
2026-07-19T09:00:54Z,179484,0,179484
2026-07-20T09:48:57Z,179490,0,179490
2026-07-21T09:21:57Z,179499,0,179499
2026-07-22T09:20:59Z,179503,0,179503
2026-07-23T09:17:24Z,179517,0,179517
2026-07-24T09:14:12Z,179526,0,179526
2026-07-25T08:53:50Z,179531,0,179531
2026-07-26T09:06:44Z,179544,0,179544
2026-07-27T10:31:23Z,179548,0,179548
2026-07-28T09:29:59Z,179558,0,179558
2026-07-29T09:31:50Z,179564,0,179564
2026-07-30T09:24:27Z,179586,0,179586
2026-07-31T09:36:03Z,179596,0,179596
2026-08-01T08:59:31Z,179612,0,179612
2026-08-02T09:04:20Z,179626,0,179626
2026-08-03T10:31:30Z,179636,0,179636
2026-08-04T09:32:33Z,179656,0,179656
2026-08-05T09:29:25Z,179668,0,179668
2026-08-06T09:33:57Z,179679,0,179679
2026-08-07T08:04:52Z,179695,0,179695
2026-08-08T07:39:38Z,179712,0,179712
2026-08-09T07:43:35Z,179732,0,179732
2026-08-10T08:20:16Z,179747,0,179747
2026-08-11T08:01:46Z,179757,0,179757
2026-08-12T12:16:43Z,179777,0,179777
2026-08-13T08:10:06Z,179786,0,179786
2026-08-14T08:06:05Z,179806,0,179806
2026-08-15T07:21:01Z,179813,0,179813
2026-08-16T07:22:07Z,179823,0,179823
2026-08-17T07:41:53Z,179839,0,179839
2026-08-18T07:27:47Z,179852,0,179852
2026-08-19T07:29:00Z,179856,0,179856
2026-08-20T07:31:22Z,179865,0,179865
2026-08-21T07:33:53Z,179880,0,179880
2026-08-22T07:22:03Z,179892,0,179892
2026-08-23T07:23:51Z,179907,0,179907
2026-08-24T07:48:28Z,179919,0,179919
2026-08-25T07:34:46Z,179925,0,179925
2026-08-26T07:36:16Z,179930,0,179930
2026-08-27T17:57:35Z,179945,0,179945
2026-08-28T19:07:47Z,179948,0,179948
2026-08-29T12:52:05Z,179953,0,179953
