date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,991972,0,991972
2026-06-22T12:42:00Z,992552,0,992552
2026-06-23T10:27:37Z,993103,0,993103
2026-06-24T10:12:27Z,993577,0,993577
2026-06-25T10:10:12Z,994085,0,994085
2026-06-26T10:12:43Z,994569,0,994569
2026-06-27T09:21:34Z,995002,0,995002
2026-06-28T09:51:41Z,995496,0,995496
2026-06-29T11:52:16Z,996056,0,996056
2026-06-30T10:23:41Z,996490,0,996490
2026-07-01T10:36:49Z,996915,0,996915
2026-07-02T09:51:03Z,997418,0,997418
2026-07-03T09:48:51Z,997969,0,997969
2026-07-04T09:12:31Z,998324,0,998324
2026-07-05T09:33:11Z,998854,0,998854
2026-07-06T11:21:24Z,999432,0,999432
2026-07-07T10:17:38Z,999908,0,999908
2026-07-08T09:19:28Z,1000372,0,1000372
2026-07-09T10:17:37Z,1000881,0,1000881
2026-07-10T10:13:39Z,1001395,0,1001395
2026-07-11T08:41:48Z,1001820,0,1001820
2026-07-12T08:57:07Z,1002347,0,1002347
2026-07-13T10:15:20Z,1002939,0,1002939
2026-07-14T08:58:10Z,1003448,0,1003448
2026-07-15T09:04:12Z,1003950,0,1003950
