date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,60809395,1676250,62485645
2026-06-22T12:42:00Z,60821683,1677796,62499479
2026-06-23T10:27:37Z,60830759,1678900,62509659
2026-06-24T10:12:27Z,60840524,1680098,62520622
2026-06-25T10:10:12Z,60849731,1681427,62531158
2026-06-26T10:12:43Z,60858949,1682726,62541675
2026-06-27T09:21:34Z,60868112,1684251,62552363
2026-06-28T09:51:41Z,60879566,1686052,62565618
2026-06-29T11:52:16Z,60891679,1687704,62579383
2026-06-30T10:23:41Z,60901235,1689137,62590372
2026-07-01T10:36:49Z,60911097,1690783,62601880
2026-07-02T09:51:03Z,60920941,1692419,62613360
2026-07-03T09:48:51Z,60930897,1693935,62624832
2026-07-04T09:12:31Z,60939206,1695579,62634785
2026-07-05T09:33:11Z,60949723,1697360,62647083
2026-07-06T11:21:24Z,60961624,1699281,62660905
2026-07-07T10:17:38Z,60971149,1700961,62672110
2026-07-08T09:19:28Z,60981243,1702541,62683784
2026-07-09T10:17:37Z,60991116,1704305,62695421
2026-07-10T10:13:39Z,61001013,1706028,62707041
2026-07-11T08:41:48Z,61010469,1707516,62717985
2026-07-12T08:57:07Z,61021239,1709196,62730435
2026-07-13T10:15:20Z,61032386,1711161,62743547
2026-07-14T08:58:10Z,61042198,1712671,62754869
2026-07-15T09:04:12Z,61051956,1714302,62766258
2026-07-16T09:07:37Z,61061494,1716076,62777570
2026-07-17T09:02:27Z,61071342,1717865,62789207
2026-07-18T08:31:28Z,61081166,1719357,62800523
2026-07-19T09:00:54Z,61092765,1720975,62813740
2026-07-20T09:48:57Z,61103912,1722786,62826698
2026-07-21T09:21:57Z,61113612,1724401,62838013
2026-07-22T09:20:59Z,61123717,1726123,62849840
2026-07-23T09:17:24Z,61133320,1727716,62861036
2026-07-24T09:14:12Z,61143150,1729345,62872495
2026-07-25T08:53:50Z,61153145,1730794,62883939
2026-07-26T09:06:44Z,61163781,1732506,62896287
2026-07-27T10:31:23Z,61175503,1734338,62909841
2026-07-28T09:29:59Z,61185335,1736079,62921414
2026-07-29T09:31:50Z,61195472,1737587,62933059
2026-07-30T09:24:27Z,61205256,1739205,62944461
2026-07-31T09:36:03Z,61214833,1740938,62955771
2026-08-01T08:59:31Z,61224770,1742388,62967158
2026-08-02T09:04:20Z,61235643,1744040,62979683
2026-08-03T10:31:30Z,61247154,1746103,62993257
2026-08-04T09:32:33Z,61256556,1747725,63004281
2026-08-05T09:29:25Z,61266208,1749314,63015522
2026-08-06T09:33:57Z,61275781,1750984,63026765
2026-08-07T08:04:52Z,61284980,1752428,63037408
2026-08-08T07:39:38Z,61294410,1753900,63048310
2026-08-09T07:43:35Z,61305082,1755319,63060401
2026-08-10T08:20:16Z,61316256,1756808,63073064
2026-08-11T08:01:46Z,61326040,1758338,63084378
2026-08-12T12:16:43Z,61336323,1760344,63096667
2026-08-13T08:10:06Z,61343927,1761441,63105368
2026-08-14T08:06:05Z,61352857,1762783,63115640
2026-08-15T07:21:01Z,61361817,1764133,63125950
2026-08-16T07:22:07Z,61372629,1765665,63138294
2026-08-17T07:41:53Z,61383829,1767289,63151118
2026-08-18T07:27:47Z,61392844,1768822,63161666
2026-08-19T07:29:00Z,61401659,1770282,63171941
2026-08-20T07:31:22Z,61410530,1771707,63182237
2026-08-21T07:33:53Z,61418982,1773113,63192095
2026-08-22T07:22:03Z,61428159,1774546,63202705
2026-08-23T07:23:51Z,61438636,1776171,63214807
2026-08-24T07:48:28Z,61450099,1777936,63228035
2026-08-25T07:34:46Z,61459090,1779555,63238645
2026-08-26T07:36:16Z,61467597,1780995,63248592
2026-08-27T17:57:35Z,61479611,1783070,63262681
2026-08-28T19:07:47Z,61488067,1784438,63272505
2026-08-29T12:52:05Z,61495258,1785389,63280647
2026-08-30T12:23:12Z,61505579,1786943,63292522
2026-08-31T14:32:43Z,61516879,1788544,63305423
2026-09-01T12:12:23Z,61524383,1789421,63313804
2026-09-02T11:49:17Z,61531914,1790431,63322345
2026-09-03T11:49:33Z,61539135,1791309,63330444
2026-09-04T11:51:00Z,61546107,1792310,63338417
