date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,35180021,6004458,41184479
2026-06-22T12:42:00Z,35257246,6019556,41276802
2026-06-23T10:27:37Z,35314316,6031679,41345995
2026-06-24T10:12:27Z,35373327,6044663,41417990
2026-06-25T10:10:12Z,35431668,6057952,41489620
2026-06-26T10:12:43Z,35488599,6069873,41558472
2026-06-27T09:21:34Z,35552718,6083391,41636109
2026-06-28T09:51:41Z,35632065,6099125,41731190
2026-06-29T11:52:16Z,35711163,6113842,41825005
2026-06-30T10:23:41Z,35776097,6125331,41901428
2026-07-01T10:36:49Z,35843984,6139171,41983155
2026-07-02T09:51:03Z,35908770,6151200,42059970
2026-07-03T09:48:51Z,35972559,6163043,42135602
2026-07-04T09:12:31Z,36027131,6175318,42202449
2026-07-05T09:33:11Z,36096258,6188283,42284541
2026-07-06T11:21:24Z,36173496,6201816,42375312
2026-07-07T10:17:38Z,36234794,6213558,42448352
2026-07-08T09:19:28Z,36296894,6225759,42522653
2026-07-09T10:17:37Z,36358088,6238996,42597084
2026-07-10T10:13:39Z,36416737,6252845,42669582
2026-07-11T08:41:48Z,36474611,6265214,42739825
2026-07-12T08:57:07Z,36538783,6278924,42817707
2026-07-13T10:15:20Z,36607032,6292864,42899896
2026-07-14T08:58:10Z,36665422,6308304,42973726
2026-07-15T09:04:12Z,36721942,6326263,43048205
2026-07-16T09:07:37Z,36778303,6343806,43122109
2026-07-17T09:02:27Z,36834820,6361079,43195899
2026-07-18T08:31:28Z,36891622,6376980,43268602
2026-07-19T09:00:54Z,36959702,6395651,43355353
2026-07-20T09:48:57Z,37027411,6416246,43443657
2026-07-21T09:21:57Z,37089665,6434321,43523986
2026-07-22T09:20:59Z,37153279,6452334,43605613
2026-07-23T09:17:24Z,37214547,6470900,43685447
2026-07-24T09:14:12Z,37274601,6488415,43763016
2026-07-25T08:53:50Z,37336597,6507776,43844373
2026-07-26T09:06:44Z,37403635,6528229,43931864
2026-07-27T10:31:23Z,37475717,6549158,44024875
2026-07-28T09:29:59Z,37536899,6568906,44105805
2026-07-29T09:31:50Z,37599568,6587872,44187440
2026-07-30T09:24:27Z,37659328,6606070,44265398
2026-07-31T09:36:03Z,37716924,6625129,44342053
2026-08-01T08:59:31Z,37777190,6642105,44419295
2026-08-02T09:04:20Z,37842366,6662067,44504433
2026-08-03T10:31:30Z,37915009,6682178,44597187
2026-08-04T09:32:33Z,37975408,6699399,44674807
2026-08-05T09:29:25Z,38034396,6717390,44751786
2026-08-06T09:33:57Z,38093297,6735134,44828431
2026-08-07T08:04:52Z,38150063,6751668,44901731
2026-08-08T07:39:38Z,38209198,6768883,44978081
2026-08-09T07:43:35Z,38275645,6787732,45063377
2026-08-10T08:20:16Z,38346520,6806876,45153396
2026-08-11T08:01:46Z,38410672,6825093,45235765
2026-08-12T12:16:43Z,38477923,6846499,45324422
2026-08-13T08:10:06Z,38526190,6860890,45387080
2026-08-14T08:06:05Z,38582233,6879566,45461799
2026-08-15T07:21:01Z,38640656,6895807,45536463
2026-08-16T07:22:07Z,38710392,6913187,45623579
2026-08-17T07:41:53Z,38784561,6931144,45715705
2026-08-18T07:27:47Z,38844379,6948888,45793267
2026-08-19T07:29:00Z,38903286,6965446,45868732
2026-08-20T07:31:22Z,38960697,6981761,45942458
2026-08-21T07:33:53Z,39017529,6999755,46017284
2026-08-22T07:22:03Z,39077650,7017021,46094671
2026-08-23T07:23:51Z,39148394,7035962,46184356
2026-08-24T07:48:28Z,39223251,7054214,46277465
2026-08-25T07:34:46Z,39284064,7071218,46355282
2026-08-26T07:36:16Z,39343690,7087431,46431121
2026-08-27T17:57:35Z,39422798,7110258,46533056
2026-08-28T19:07:47Z,39476715,7125466,46602181
2026-08-29T12:52:05Z,39524864,7136409,46661273
2026-08-30T12:23:12Z,39596362,7153674,46750036
