date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,722344,0,722344
2026-06-22T12:42:00Z,722486,0,722486
2026-06-23T10:27:37Z,722570,0,722570
2026-06-24T10:12:27Z,722681,0,722681
2026-06-25T10:10:12Z,722777,0,722777
2026-06-26T10:12:43Z,722884,0,722884
2026-06-27T09:21:34Z,722958,0,722958
2026-06-28T09:51:41Z,723079,0,723079
2026-06-29T11:52:16Z,723238,0,723238
2026-06-30T10:23:41Z,723308,0,723308
2026-07-01T10:36:49Z,723409,0,723409
2026-07-02T09:51:03Z,723514,0,723514
2026-07-03T09:48:51Z,723618,0,723618
2026-07-04T09:12:31Z,723684,0,723684
2026-07-05T09:33:11Z,723808,0,723808
2026-07-06T11:21:24Z,723897,0,723897
