date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,17012,0,17012
2026-06-22T12:42:00Z,17012,0,17012
2026-06-23T10:27:37Z,17012,0,17012
2026-06-24T10:12:27Z,17012,0,17012
2026-06-25T10:10:12Z,17012,0,17012
2026-06-26T10:12:43Z,17014,0,17014
2026-06-27T09:21:34Z,17014,0,17014
2026-06-28T09:51:41Z,17015,0,17015
2026-06-29T11:52:16Z,17027,0,17027
2026-06-30T10:23:41Z,17029,0,17029
2026-07-01T10:36:49Z,17030,0,17030
2026-07-02T09:51:03Z,17033,0,17033
2026-07-03T09:48:51Z,17034,0,17034
2026-07-04T09:12:31Z,17034,0,17034
2026-07-05T09:33:11Z,17035,0,17035
2026-07-06T11:21:24Z,17037,0,17037
2026-07-07T10:17:38Z,17037,0,17037
2026-07-08T09:19:28Z,17039,0,17039
2026-07-09T10:17:37Z,17042,0,17042
2026-07-10T10:13:39Z,17043,0,17043
2026-07-11T08:41:48Z,17043,0,17043
2026-07-12T08:57:07Z,17044,0,17044
2026-07-13T10:15:20Z,17045,0,17045
2026-07-14T08:58:10Z,17048,0,17048
2026-07-15T09:04:12Z,17048,0,17048
2026-07-16T09:07:37Z,17049,0,17049
2026-07-17T09:02:27Z,17050,0,17050
2026-07-18T08:31:28Z,17050,0,17050
2026-07-19T09:00:54Z,17050,0,17050
2026-07-20T09:48:57Z,17051,0,17051
2026-07-21T09:21:57Z,17052,0,17052
2026-07-22T09:20:59Z,17052,0,17052
2026-07-23T09:17:24Z,17052,0,17052
2026-07-24T09:14:12Z,17052,0,17052
2026-07-25T08:53:50Z,17052,0,17052
2026-07-26T09:06:44Z,17054,0,17054
2026-07-27T10:31:23Z,17054,0,17054
2026-07-28T09:29:59Z,17054,0,17054
2026-07-29T09:31:50Z,17056,0,17056
2026-07-30T09:24:27Z,17058,0,17058
2026-07-31T09:36:03Z,17058,0,17058
2026-08-01T08:59:31Z,17058,0,17058
2026-08-02T09:04:20Z,17062,0,17062
2026-08-03T10:31:30Z,17062,0,17062
2026-08-04T09:32:33Z,17063,0,17063
2026-08-05T09:29:25Z,17063,0,17063
2026-08-06T09:33:57Z,17064,0,17064
2026-08-07T08:04:52Z,17065,0,17065
2026-08-08T07:39:38Z,17065,0,17065
2026-08-09T07:43:35Z,17066,0,17066
2026-08-10T08:20:16Z,17066,0,17066
2026-08-11T08:01:46Z,17066,0,17066
2026-08-12T12:16:43Z,17069,0,17069
2026-08-13T08:10:06Z,17071,0,17071
2026-08-14T08:06:05Z,17075,0,17075
2026-08-15T07:21:01Z,17075,0,17075
2026-08-16T07:22:07Z,17076,0,17076
2026-08-17T07:41:53Z,17077,0,17077
2026-08-18T07:27:47Z,17077,0,17077
2026-08-19T07:29:00Z,17077,0,17077
2026-08-20T07:31:22Z,17078,0,17078
2026-08-21T07:33:53Z,17078,0,17078
2026-08-22T07:22:03Z,17079,0,17079
2026-08-23T07:23:51Z,17080,0,17080
2026-08-24T07:48:28Z,17081,0,17081
2026-08-25T07:34:46Z,17083,0,17083
2026-08-26T07:36:16Z,17085,0,17085
2026-08-27T17:57:35Z,17085,0,17085
2026-08-28T19:07:47Z,17085,0,17085
