date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,146,0,146
2026-06-22T12:42:00Z,146,0,146
2026-06-23T10:27:37Z,146,0,146
2026-06-24T10:12:27Z,146,0,146
2026-06-25T10:10:12Z,146,0,146
2026-06-26T10:12:43Z,146,0,146
2026-06-27T09:21:34Z,146,0,146
2026-06-28T09:51:41Z,146,0,146
2026-06-29T11:52:16Z,146,0,146
2026-06-30T10:23:41Z,146,0,146
2026-07-01T10:36:49Z,146,0,146
2026-07-02T09:51:03Z,146,0,146
2026-07-03T09:48:51Z,146,0,146
2026-07-04T09:12:31Z,146,0,146
2026-07-05T09:33:11Z,146,0,146
2026-07-06T11:21:24Z,146,0,146
2026-07-07T10:17:38Z,148,0,148
2026-07-08T09:19:28Z,148,0,148
2026-07-09T10:17:37Z,148,0,148
2026-07-10T10:13:39Z,148,0,148
2026-07-11T08:41:48Z,150,0,150
2026-07-12T08:57:07Z,150,0,150
2026-07-13T10:15:20Z,150,0,150
2026-07-14T08:58:10Z,150,0,150
2026-07-15T09:04:12Z,150,0,150
