date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,50444022,0,50444022
2026-06-22T12:42:00Z,50470266,0,50470266
2026-06-23T10:27:37Z,50489815,0,50489815
2026-06-24T10:12:27Z,50508123,0,50508123
2026-06-25T10:10:12Z,50525503,0,50525503
2026-06-26T10:12:43Z,50542732,0,50542732
2026-06-27T09:21:34Z,50560129,0,50560129
2026-06-28T09:51:41Z,50580731,0,50580731
2026-06-29T11:52:16Z,50602135,0,50602135
2026-06-30T10:23:41Z,50620102,0,50620102
2026-07-01T10:36:49Z,50638257,0,50638257
2026-07-02T09:51:03Z,50656176,0,50656176
2026-07-03T09:48:51Z,50673976,0,50673976
2026-07-04T09:12:31Z,50688951,0,50688951
2026-07-05T09:33:11Z,50708073,0,50708073
2026-07-06T11:21:24Z,50729354,0,50729354
2026-07-07T10:17:38Z,50746916,0,50746916
2026-07-08T09:19:28Z,50765059,0,50765059
2026-07-09T10:17:37Z,50783194,0,50783194
2026-07-10T10:13:39Z,50800527,0,50800527
2026-07-11T08:41:48Z,50817727,0,50817727
2026-07-12T08:57:07Z,50836623,0,50836623
2026-07-13T10:15:20Z,50856845,0,50856845
2026-07-14T08:58:10Z,50874121,0,50874121
2026-07-15T09:04:12Z,50891069,0,50891069
2026-07-16T09:07:37Z,50907804,0,50907804
2026-07-17T09:02:27Z,50925322,0,50925322
2026-07-18T08:31:28Z,50943028,0,50943028
2026-07-19T09:00:54Z,50963557,0,50963557
2026-07-20T09:48:57Z,50983139,0,50983139
2026-07-21T09:21:57Z,51000520,0,51000520
2026-07-22T09:20:59Z,51018760,0,51018760
2026-07-23T09:17:24Z,51036845,0,51036845
2026-07-24T09:14:12Z,51055022,0,51055022
2026-07-25T08:53:50Z,51073880,0,51073880
2026-07-26T09:06:44Z,51094025,0,51094025
2026-07-27T10:31:23Z,51115194,0,51115194
2026-07-28T09:29:59Z,51133039,0,51133039
2026-07-29T09:31:50Z,51151467,0,51151467
2026-07-30T09:24:27Z,51169132,0,51169132
2026-07-31T09:36:03Z,51186405,0,51186405
2026-08-01T08:59:31Z,51203907,0,51203907
2026-08-02T09:04:20Z,51223848,0,51223848
2026-08-03T10:31:30Z,51244404,0,51244404
2026-08-04T09:32:33Z,51261244,0,51261244
2026-08-05T09:29:25Z,51277948,0,51277948
2026-08-06T09:33:57Z,51294715,0,51294715
2026-08-07T08:04:52Z,51311157,0,51311157
2026-08-08T07:39:38Z,51328278,0,51328278
2026-08-09T07:43:35Z,51347388,0,51347388
2026-08-10T08:20:16Z,51367465,0,51367465
2026-08-11T08:01:46Z,51384318,0,51384318
2026-08-12T12:16:43Z,51402197,0,51402197
2026-08-13T08:10:06Z,51415353,0,51415353
2026-08-14T08:06:05Z,51430716,0,51430716
2026-08-15T07:21:01Z,51446655,0,51446655
2026-08-16T07:22:07Z,51465591,0,51465591
2026-08-17T07:41:53Z,51485470,0,51485470
2026-08-18T07:27:47Z,51501459,0,51501459
2026-08-19T07:29:00Z,51516518,0,51516518
2026-08-20T07:31:22Z,51531303,0,51531303
2026-08-21T07:33:53Z,51545852,0,51545852
2026-08-22T07:22:03Z,51561520,0,51561520
2026-08-23T07:23:51Z,51579967,0,51579967
2026-08-24T07:48:28Z,51599628,0,51599628
2026-08-25T07:34:46Z,51614940,0,51614940
2026-08-26T07:36:16Z,51629515,0,51629515
2026-08-27T17:57:35Z,51649744,0,51649744
2026-08-28T19:07:47Z,51664164,0,51664164
2026-08-29T12:52:05Z,51676868,0,51676868
2026-08-30T12:23:12Z,51694759,0,51694759
2026-08-31T14:32:43Z,51713736,0,51713736
2026-09-01T12:12:23Z,51726460,0,51726460
2026-09-02T11:49:17Z,51738867,0,51738867
2026-09-03T11:49:33Z,51750481,0,51750481
2026-09-04T11:51:00Z,51761923,0,51761923
