date,downloads_total
2026-06-21T10:24:45Z,458717216
2026-06-22T12:42:00Z,493478175
2026-06-23T10:27:37Z,493890852
2026-06-24T10:12:27Z,494346894
2026-06-25T10:10:12Z,494794548
2026-06-26T10:12:43Z,495230629
2026-06-27T09:21:34Z,495695189
2026-06-28T09:51:41Z,496259462
2026-06-29T11:52:16Z,496826808
2026-06-30T10:23:41Z,497269014
2026-07-01T10:36:49Z,497735344
2026-07-02T09:51:03Z,498185900
2026-07-03T09:48:51Z,498631377
2026-07-04T09:12:31Z,499024708
2026-07-05T09:33:11Z,499524002
2026-07-06T11:21:24Z,500065486
2026-07-07T10:17:38Z,500508804
2026-07-08T09:19:28Z,500974603
2026-07-09T10:17:37Z,501438765
2026-07-10T10:13:39Z,501884022
2026-07-11T08:41:48Z,502317713
2026-07-12T08:57:07Z,502805187
2026-07-13T10:15:20Z,503317604
2026-07-14T08:58:10Z,503767875
2026-07-15T09:04:12Z,504220246
2026-07-16T09:07:37Z,504664008
2026-07-17T09:02:27Z,505113751
2026-07-18T08:31:28Z,505560642
