date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,4276,0,4276
2026-06-22T12:42:00Z,4276,0,4276
2026-06-23T10:27:37Z,4276,0,4276
2026-06-24T10:12:27Z,4276,0,4276
2026-06-25T10:10:12Z,4276,0,4276
2026-06-26T10:12:43Z,4276,0,4276
2026-06-27T09:21:34Z,4276,0,4276
2026-06-28T09:51:41Z,4276,0,4276
2026-06-29T11:52:16Z,4276,0,4276
2026-06-30T10:23:41Z,4276,0,4276
2026-07-01T10:36:49Z,4276,0,4276
2026-07-02T09:51:03Z,4276,0,4276
2026-07-03T09:48:51Z,4276,0,4276
2026-07-04T09:12:31Z,4277,0,4277
2026-07-05T09:33:11Z,4282,0,4282
2026-07-06T11:21:24Z,4283,0,4283
2026-07-07T10:17:38Z,4284,0,4284
2026-07-08T09:19:28Z,4284,0,4284
2026-07-09T10:17:37Z,4284,0,4284
2026-07-10T10:13:39Z,4284,0,4284
2026-07-11T08:41:48Z,4284,0,4284
2026-07-12T08:57:07Z,4284,0,4284
2026-07-13T10:15:20Z,4284,0,4284
2026-07-14T08:58:10Z,4284,0,4284
2026-07-15T09:04:12Z,4284,0,4284
2026-07-16T09:07:37Z,4284,0,4284
2026-07-17T09:02:27Z,4284,0,4284
2026-07-18T08:31:28Z,4285,0,4285
2026-07-19T09:00:54Z,4286,0,4286
2026-07-20T09:48:57Z,4286,0,4286
2026-07-21T09:21:57Z,4286,0,4286
