date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,2535226,0,2535226
2026-06-22T12:42:00Z,2535444,0,2535444
2026-06-23T10:27:37Z,2535654,0,2535654
2026-06-24T10:12:27Z,2535866,0,2535866
2026-06-25T10:10:12Z,2536060,0,2536060
2026-06-26T10:12:43Z,2536257,0,2536257
2026-06-27T09:21:34Z,2536472,0,2536472
2026-06-28T09:51:41Z,2536702,0,2536702
2026-06-29T11:52:16Z,2536914,0,2536914
2026-06-30T10:23:41Z,2537126,0,2537126
2026-07-01T10:36:49Z,2537325,0,2537325
2026-07-02T09:51:03Z,2537544,0,2537544
2026-07-03T09:48:51Z,2537774,0,2537774
2026-07-04T09:12:31Z,2537943,0,2537943
2026-07-05T09:33:11Z,2538162,0,2538162
2026-07-06T11:21:24Z,2538411,0,2538411
2026-07-07T10:17:38Z,2538608,0,2538608
2026-07-08T09:19:28Z,2538829,0,2538829
2026-07-09T10:17:37Z,2539071,0,2539071
2026-07-10T10:13:39Z,2539268,0,2539268
2026-07-11T08:41:48Z,2539499,0,2539499
2026-07-12T08:57:07Z,2539729,0,2539729
2026-07-13T10:15:20Z,2540003,0,2540003
2026-07-14T08:58:10Z,2540227,0,2540227
2026-07-15T09:04:12Z,2540541,0,2540541
2026-07-16T09:07:37Z,2540762,0,2540762
2026-07-17T09:02:27Z,2540994,0,2540994
2026-07-18T08:31:28Z,2541197,0,2541197
2026-07-19T09:00:54Z,2541486,0,2541486
2026-07-20T09:48:57Z,2541744,0,2541744
2026-07-21T09:21:57Z,2541950,0,2541950
2026-07-22T09:20:59Z,2542140,0,2542140
2026-07-23T09:17:24Z,2542370,0,2542370
2026-07-24T09:14:12Z,2542576,0,2542576
2026-07-25T08:53:50Z,2542782,0,2542782
2026-07-26T09:06:44Z,2543010,0,2543010
2026-07-27T10:31:23Z,2543261,0,2543261
2026-07-28T09:29:59Z,2543446,0,2543446
2026-07-29T09:31:50Z,2543675,0,2543675
2026-07-30T09:24:27Z,2543884,0,2543884
2026-07-31T09:36:03Z,2544098,0,2544098
2026-08-01T08:59:31Z,2544361,0,2544361
2026-08-02T09:04:20Z,2544631,0,2544631
2026-08-03T10:31:30Z,2544853,0,2544853
2026-08-04T09:32:33Z,2545065,0,2545065
2026-08-05T09:29:25Z,2545275,0,2545275
2026-08-06T09:33:57Z,2545501,0,2545501
2026-08-07T08:04:52Z,2545714,0,2545714
2026-08-08T07:39:38Z,2545903,0,2545903
2026-08-09T07:43:35Z,2546133,0,2546133
2026-08-10T08:20:16Z,2546363,0,2546363
2026-08-11T08:01:46Z,2546564,0,2546564
