date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,3930,4471,8401
2026-06-22T12:42:00Z,3940,4494,8434
2026-06-23T10:27:37Z,3949,4513,8462
2026-06-24T10:12:27Z,3963,4525,8488
2026-06-25T10:10:12Z,3973,4540,8513
2026-06-26T10:12:43Z,3977,4559,8536
2026-06-27T09:21:34Z,3992,4578,8570
2026-06-28T09:51:41Z,4000,4604,8604
2026-06-29T11:52:16Z,4007,4622,8629
2026-06-30T10:23:41Z,4007,4641,8648
2026-07-01T10:36:49Z,4013,4672,8685
2026-07-02T09:51:03Z,4028,4699,8727
2026-07-03T09:48:51Z,4043,4713,8756
2026-07-04T09:12:31Z,4048,4728,8776
2026-07-05T09:33:11Z,4060,4741,8801
2026-07-06T11:21:24Z,4073,4792,8865
