date,video_count,views,likes,comments
2026-06-21T09:55:24Z,26,73609444,785066,34121
2026-06-22T12:11:14Z,26,73636572,785341,34140
2026-06-23T09:48:04Z,26,73658005,785546,34152
2026-06-24T09:37:16Z,26,73681097,785627,34174
2026-06-25T09:28:43Z,26,73705580,785840,34178
2026-06-26T09:33:40Z,26,73731461,786074,34181
2026-06-27T23:12:38Z,120,77207878,998166,48464
2026-06-28T08:57:30Z,120,77219178,998290,48471
2026-06-29T11:07:10Z,120,77250120,998546,48478
2026-06-30T09:43:11Z,120,77274520,998642,48489
2026-07-01T09:54:58Z,120,77303016,998960,48502
2026-07-02T09:17:57Z,120,77330190,999059,48504
2026-07-03T09:23:56Z,120,77357965,999303,48507
2026-07-04T08:41:57Z,120,77387951,999602,48517
2026-07-05T08:56:58Z,120,77416938,999718,48520
