date,views,likes,comments
2026-06-27T23:12:38Z,71446,4532,351
2026-06-28T08:57:30Z,71454,4532,351
2026-06-29T11:07:10Z,71463,4532,351
2026-06-30T09:43:11Z,71469,4531,351
2026-07-01T09:54:58Z,71481,4531,351
2026-07-02T09:17:57Z,71509,4529,351
2026-07-03T09:23:56Z,71531,4528,351
2026-07-04T08:41:57Z,71555,4528,351
2026-07-05T08:56:58Z,71577,4526,351
2026-07-06T10:43:30Z,71599,4529,351
2026-07-07T09:48:19Z,71611,4531,351
2026-07-08T08:34:07Z,71638,4531,351
2026-07-09T09:46:01Z,71665,4531,351
