date,views,likes,comments
2026-06-27T23:12:38Z,126735,7346,678
2026-06-28T08:57:30Z,126752,7345,678
2026-06-29T11:07:10Z,126777,7345,678
2026-06-30T09:43:11Z,126807,7345,678
2026-07-01T09:54:58Z,126880,7346,680
2026-07-02T09:17:57Z,126989,7343,680
2026-07-03T09:23:56Z,127085,7343,680
2026-07-04T08:41:57Z,127171,7345,680
2026-07-05T08:56:58Z,127258,7344,680
2026-07-06T10:43:30Z,127326,7344,680
2026-07-07T09:48:19Z,127400,7346,680
2026-07-08T08:34:07Z,127486,7345,680
2026-07-09T09:46:01Z,127547,7345,680
