date,views,likes,comments
2026-06-27T23:12:38Z,64766,4131,329
2026-06-28T08:57:30Z,64771,4131,329
2026-06-29T11:07:10Z,64785,4131,329
2026-06-30T09:43:11Z,64792,4132,329
2026-07-01T09:54:58Z,64805,4132,329
2026-07-02T09:17:57Z,64815,4133,329
2026-07-03T09:23:56Z,64833,4132,329
2026-07-04T08:41:57Z,64848,4132,329
2026-07-05T08:56:58Z,64869,4131,329
2026-07-06T10:43:30Z,64899,4132,329
2026-07-07T09:48:19Z,64907,4132,329
2026-07-08T08:34:07Z,64918,4133,329
2026-07-09T09:46:01Z,64938,4134,331
2026-07-10T09:41:06Z,64950,4134,331
2026-07-11T08:01:03Z,64971,4135,331
2026-07-12T08:22:38Z,64990,4136,331
