date,views,likes,comments
2026-06-21T09:55:24Z,6083190,28780,425
2026-06-22T12:11:14Z,6084696,28790,426
2026-06-23T09:48:04Z,6085642,28789,426
2026-06-24T09:37:16Z,6086412,28788,426
2026-06-25T09:28:43Z,6087496,28793,426
2026-06-26T09:33:40Z,6088572,28800,426
2026-06-27T23:12:38Z,6091146,28813,426
2026-06-28T08:57:30Z,6091791,28818,426
2026-06-29T11:07:10Z,6093206,28818,426
2026-06-30T09:43:11Z,6094188,28822,426
2026-07-01T09:54:58Z,6095567,28830,425
2026-07-02T09:17:57Z,6096671,28830,425
2026-07-03T09:23:56Z,6097759,28833,425
2026-07-04T08:41:57Z,6099141,28842,425
2026-07-05T08:56:58Z,6100130,28844,425
2026-07-06T10:43:30Z,6101300,28847,425
2026-07-07T09:48:19Z,6102384,28847,425
2026-07-08T08:34:07Z,6103667,28850,425
2026-07-09T09:46:01Z,6104715,28851,425
2026-07-10T09:41:06Z,6105865,28855,425
2026-07-11T08:01:03Z,6107064,28859,425
2026-07-12T08:22:38Z,6108270,28856,430
2026-07-13T09:33:37Z,6109513,28861,430
2026-07-14T08:12:14Z,6110516,28867,430
2026-07-15T08:19:22Z,6111528,28867,430
2026-07-16T08:19:04Z,6112437,28875,430
2026-07-17T08:14:41Z,6113647,28879,430
2026-07-18T07:56:46Z,6114694,28889,430
