date,views,likes,comments
2026-06-27T23:12:38Z,77280,5547,363
2026-06-28T08:57:30Z,77288,5547,363
2026-06-29T11:07:10Z,77297,5547,363
2026-06-30T09:43:11Z,77304,5547,363
2026-07-01T09:54:58Z,77317,5547,363
2026-07-02T09:17:57Z,77348,5544,363
2026-07-03T09:23:56Z,77384,5545,363
2026-07-04T08:41:57Z,77411,5546,363
2026-07-05T08:56:58Z,77436,5546,363
2026-07-06T10:43:30Z,77456,5546,363
2026-07-07T09:48:19Z,77476,5546,363
2026-07-08T08:34:07Z,77508,5545,363
2026-07-09T09:46:01Z,77547,5546,363
2026-07-10T09:41:06Z,77579,5546,363
