date,views,likes,comments
2026-06-27T23:12:38Z,63877,3979,314
2026-06-28T08:57:30Z,63881,3979,314
2026-06-29T11:07:10Z,63884,3979,314
2026-06-30T09:43:11Z,63888,3979,314
2026-07-01T09:54:58Z,63894,3979,314
2026-07-02T09:17:57Z,63908,3979,314
2026-07-03T09:23:56Z,63918,3978,314
2026-07-04T08:41:57Z,63929,3980,314
2026-07-05T08:56:58Z,63946,3980,314
2026-07-06T10:43:30Z,63959,3980,314
2026-07-07T09:48:19Z,63972,3981,314
2026-07-08T08:34:07Z,63980,3982,314
2026-07-09T09:46:01Z,63990,3982,314
2026-07-10T09:41:06Z,63999,3983,314
2026-07-11T08:01:03Z,64009,3983,314
2026-07-12T08:22:38Z,64016,3984,314
2026-07-13T09:33:37Z,64036,3985,314
2026-07-14T08:12:14Z,64042,3984,314
2026-07-15T08:19:22Z,64054,3985,314
2026-07-16T08:19:04Z,64064,3987,314
2026-07-17T08:14:41Z,64074,3987,314
