date,views,likes,comments
2026-06-21T09:55:24Z,3864454,39965,3862
2026-06-22T12:11:14Z,3866650,39985,3863
2026-06-23T09:48:04Z,3868460,39997,3866
2026-06-24T09:37:16Z,3870639,40007,3871
2026-06-25T09:28:43Z,3872773,40021,3871
2026-06-26T09:33:40Z,3874761,40036,3871
2026-06-27T23:12:38Z,3878616,40070,3871
2026-06-28T08:57:30Z,3879452,40079,3872
2026-06-29T11:07:10Z,3881778,40093,3875
2026-06-30T09:43:11Z,3883881,40115,3878
2026-07-01T09:54:58Z,3886324,40145,3882
2026-07-02T09:17:57Z,3888672,40154,3882
2026-07-03T09:23:56Z,3890978,40173,3883
2026-07-04T08:41:57Z,3893499,40190,3884
2026-07-05T08:56:58Z,3896183,40215,3888
2026-07-06T10:43:30Z,3898922,40238,3889
2026-07-07T09:48:19Z,3901208,40251,3889
2026-07-08T08:34:07Z,3903274,40263,3889
2026-07-09T09:46:01Z,3905568,40277,3890
2026-07-10T09:41:06Z,3907700,40292,3891
2026-07-11T08:01:03Z,3909807,40310,3895
2026-07-12T08:22:38Z,3912387,40335,3895
2026-07-13T09:33:37Z,3915050,40355,3897
2026-07-14T08:12:14Z,3917061,40367,3899
2026-07-15T08:19:22Z,3919144,40375,3902
2026-07-16T08:19:04Z,3921259,40387,3903
2026-07-17T08:14:41Z,3923590,40402,3906
2026-07-18T07:56:46Z,3926084,40422,3908
2026-07-19T08:23:57Z,3928498,40443,3908
2026-07-20T09:20:22Z,3930765,40461,3908
2026-07-21T08:33:54Z,3932726,40462,3907
2026-07-22T08:33:44Z,3934829,40474,3907
2026-07-23T08:34:57Z,3937194,40493,3906
2026-07-24T08:31:29Z,3939515,40516,3908
2026-07-25T08:10:18Z,3941934,40541,3910
2026-07-26T08:30:27Z,3944435,40553,3911
2026-07-27T09:57:07Z,3947137,40582,3912
2026-07-28T08:39:18Z,3949814,40601,3916
2026-07-29T08:45:24Z,3952893,40621,3918
2026-07-30T08:32:07Z,3955570,40645,3920
2026-07-31T08:53:50Z,3958171,40659,3920
2026-08-01T08:25:13Z,3960557,40674,3919
2026-08-02T08:28:03Z,3962907,40686,3919
2026-08-03T09:51:48Z,3965121,40702,3921
2026-08-04T08:42:08Z,3966975,40702,3922
2026-08-05T08:40:29Z,3969069,40713,3922
2026-08-06T08:41:27Z,3970977,40725,3922
2026-08-07T07:20:46Z,3972854,40740,3927
2026-08-08T06:58:00Z,3974718,40749,3928
2026-08-09T07:00:56Z,3976730,40764,3928
2026-08-10T07:46:54Z,3978694,40779,3929
2026-08-11T07:12:25Z,3980385,40786,3929
2026-08-12T07:36:49Z,3982128,40804,3929
2026-08-13T07:38:47Z,3984003,40819,3930
2026-08-14T07:36:20Z,3986025,40826,3930
2026-08-15T06:42:25Z,3988103,40838,3931
2026-08-16T06:43:19Z,3990320,40856,3934
2026-08-17T07:00:44Z,3992257,40853,3935
2026-08-18T06:48:34Z,3994063,40864,3935
2026-08-19T06:49:26Z,3996024,40879,3935
2026-08-20T06:50:57Z,3998150,40887,3936
2026-08-21T06:51:58Z,4000396,40904,3937
2026-08-22T06:43:41Z,4002673,40905,3937
2026-08-23T06:45:32Z,4005450,40936,3937
2026-08-24T07:03:47Z,4007987,40945,3936
2026-08-25T06:52:44Z,4010092,40963,3938
2026-08-26T06:54:17Z,4012340,40979,3938
2026-08-27T17:27:33Z,4015609,40992,3937
2026-08-28T18:20:59Z,4018379,41004,3937
2026-08-29T12:29:34Z,4021042,41022,3940
2026-08-30T11:31:55Z,4024469,41027,3942
2026-08-31T13:05:09Z,4027724,41039,3945
2026-09-01T11:20:10Z,4030025,41058,3945
2026-09-02T10:54:39Z,4032412,41069,3945
2026-09-03T10:53:28Z,4034942,41082,3944
