date,views,likes,comments
2026-06-27T23:12:38Z,30163,1660,95
2026-06-28T08:57:30Z,30163,1660,95
2026-06-29T11:07:10Z,30167,1660,95
2026-06-30T09:43:11Z,30167,1659,95
2026-07-01T09:54:58Z,30170,1659,95
2026-07-02T09:17:57Z,30174,1658,95
2026-07-03T09:23:56Z,30174,1658,95
2026-07-04T08:41:57Z,30176,1658,95
2026-07-05T08:56:58Z,30178,1658,95
2026-07-06T10:43:30Z,30181,1658,95
2026-07-07T09:48:19Z,30182,1658,95
2026-07-08T08:34:07Z,30184,1658,95
2026-07-09T09:46:01Z,30187,1658,95
2026-07-10T09:41:06Z,30189,1658,95
2026-07-11T08:01:03Z,30192,1658,95
2026-07-12T08:22:38Z,30194,1658,95
2026-07-13T09:33:37Z,30195,1658,95
2026-07-14T08:12:14Z,30200,1659,95
2026-07-15T08:19:22Z,30203,1659,95
