date,views,likes,comments
2026-06-21T09:55:24Z,1693227,10667,182
2026-06-22T12:11:14Z,1694069,10668,182
2026-06-23T09:48:04Z,1694616,10672,182
2026-06-24T09:37:16Z,1695245,10669,181
2026-06-25T09:28:43Z,1696140,10673,181
2026-06-26T09:33:40Z,1697270,10678,181
2026-06-27T23:12:38Z,1699263,10691,181
2026-06-28T08:57:30Z,1699628,10697,181
2026-06-29T11:07:10Z,1701059,10709,181
2026-06-30T09:43:11Z,1701824,10710,182
2026-07-01T09:54:58Z,1703050,10718,182
2026-07-02T09:17:57Z,1704163,10722,182
2026-07-03T09:23:56Z,1705256,10725,181
2026-07-04T08:41:57Z,1706495,10733,181
2026-07-05T08:56:58Z,1707627,10731,182
2026-07-06T10:43:30Z,1708602,10735,182
2026-07-07T09:48:19Z,1709543,10739,182
