date,views,likes,comments
2026-06-27T23:12:38Z,58386,3552,244
2026-06-28T08:57:30Z,58391,3552,244
2026-06-29T11:07:10Z,58396,3552,244
2026-06-30T09:43:11Z,58403,3552,244
2026-07-01T09:54:58Z,58417,3552,244
2026-07-02T09:17:57Z,58430,3552,244
2026-07-03T09:23:56Z,58441,3551,244
2026-07-04T08:41:57Z,58451,3551,244
2026-07-05T08:56:58Z,58472,3550,244
2026-07-06T10:43:30Z,58488,3551,244
2026-07-07T09:48:19Z,58506,3552,244
2026-07-08T08:34:07Z,58518,3553,244
2026-07-09T09:46:01Z,58529,3553,244
2026-07-10T09:41:06Z,58542,3553,244
2026-07-11T08:01:03Z,58556,3553,244
2026-07-12T08:22:38Z,58565,3554,244
