date,views,likes,comments
2026-06-27T23:12:38Z,14627,942,64
2026-06-28T08:57:30Z,14630,942,64
2026-06-29T11:07:10Z,14631,942,64
2026-06-30T09:43:11Z,14632,941,64
2026-07-01T09:54:58Z,14633,941,64
2026-07-02T09:17:57Z,14636,941,64
2026-07-03T09:23:56Z,14638,941,64
2026-07-04T08:41:57Z,14643,941,64
2026-07-05T08:56:58Z,14649,940,64
2026-07-06T10:43:30Z,14652,941,64
2026-07-07T09:48:19Z,14654,941,64
2026-07-08T08:34:07Z,14660,941,64
2026-07-09T09:46:01Z,14666,942,64
2026-07-10T09:41:06Z,14667,942,64
2026-07-11T08:01:03Z,14670,942,64
2026-07-12T08:22:38Z,14673,942,64
2026-07-13T09:33:37Z,14678,942,64
2026-07-14T08:12:14Z,14685,942,64
2026-07-15T08:19:22Z,14688,942,64
2026-07-16T08:19:04Z,14693,943,64
2026-07-17T08:14:41Z,14696,943,64
2026-07-18T07:56:46Z,14698,943,64
2026-07-19T08:23:57Z,14702,943,64
2026-07-20T09:20:22Z,14705,943,64
