date,views,likes,comments
2026-06-27T23:12:38Z,94285,6028,267
2026-06-28T08:57:30Z,94293,6028,267
2026-06-29T11:07:10Z,94298,6028,267
2026-06-30T09:43:11Z,94311,6029,267
2026-07-01T09:54:58Z,94329,6029,267
2026-07-02T09:17:57Z,94373,6027,267
2026-07-03T09:23:56Z,94411,6028,267
2026-07-04T08:41:57Z,94452,6029,267
2026-07-05T08:56:58Z,94480,6027,267
2026-07-06T10:43:30Z,94511,6028,267
2026-07-07T09:48:19Z,94535,6027,267
2026-07-08T08:34:07Z,94559,6026,267
2026-07-09T09:46:01Z,94604,6028,267
2026-07-10T09:41:06Z,94639,6027,267
2026-07-11T08:01:03Z,94664,6029,267
2026-07-12T08:22:38Z,94684,6030,267
2026-07-13T09:33:37Z,94700,6029,267
2026-07-14T08:12:14Z,94712,6028,267
2026-07-15T08:19:22Z,94722,6028,267
2026-07-16T08:19:04Z,94746,6028,267
2026-07-17T08:14:41Z,94765,6028,267
2026-07-18T07:56:46Z,94781,6028,267
2026-07-19T08:23:57Z,94793,6029,267
2026-07-20T09:20:22Z,94808,6029,267
2026-07-21T08:33:54Z,94816,6030,267
2026-07-22T08:33:44Z,94830,6030,266
2026-07-23T08:34:57Z,94841,6029,266
