date,views,likes,comments
2026-06-27T23:12:38Z,48458,3376,190
2026-06-28T08:57:30Z,48461,3376,190
2026-06-29T11:07:10Z,48461,3375,190
2026-06-30T09:43:11Z,48461,3375,190
2026-07-01T09:54:58Z,48466,3375,190
2026-07-02T09:17:57Z,48472,3376,190
2026-07-03T09:23:56Z,48490,3377,190
2026-07-04T08:41:57Z,48495,3378,190
2026-07-05T08:56:58Z,48500,3377,189
2026-07-06T10:43:30Z,48519,3377,189
2026-07-07T09:48:19Z,48530,3378,189
2026-07-08T08:34:07Z,48537,3378,189
2026-07-09T09:46:01Z,48548,3379,189
2026-07-10T09:41:06Z,48558,3379,189
2026-07-11T08:01:03Z,48564,3378,189
2026-07-12T08:22:38Z,48583,3379,189
2026-07-13T09:33:37Z,48586,3379,189
2026-07-14T08:12:14Z,48596,3378,189
2026-07-15T08:19:22Z,48604,3378,189
2026-07-16T08:19:04Z,48611,3378,189
2026-07-17T08:14:41Z,48619,3379,189
2026-07-18T07:56:46Z,48625,3379,189
2026-07-19T08:23:57Z,48627,3379,189
2026-07-20T09:20:22Z,48637,3379,189
2026-07-21T08:33:54Z,48638,3379,188
2026-07-22T08:33:44Z,48642,3380,188
2026-07-23T08:34:57Z,48649,3379,188
2026-07-24T08:31:29Z,48655,3379,188
2026-07-25T08:10:18Z,48661,3379,188
2026-07-26T08:30:27Z,48668,3379,188
2026-07-27T09:57:07Z,48677,3380,188
2026-07-28T08:39:18Z,48690,3380,188
2026-07-29T08:45:24Z,48692,3381,188
2026-07-30T08:32:07Z,48696,3381,188
2026-07-31T08:53:50Z,48700,3380,188
2026-08-01T08:25:13Z,48709,3380,188
2026-08-02T08:28:03Z,48712,3380,188
2026-08-03T09:51:48Z,48718,3381,188
2026-08-04T08:42:08Z,48721,3380,188
2026-08-05T08:40:29Z,48726,3380,188
2026-08-06T08:41:27Z,48732,3379,188
2026-08-07T07:20:46Z,48736,3379,188
2026-08-08T06:58:00Z,48738,3379,188
2026-08-09T07:00:56Z,48738,3379,186
2026-08-10T07:46:54Z,48743,3379,186
2026-08-11T07:12:25Z,48750,3379,186
2026-08-12T07:36:49Z,48751,3379,186
2026-08-13T07:38:47Z,48753,3378,186
2026-08-14T07:36:20Z,48758,3379,186
