date,views,likes,comments
2026-06-21T09:55:24Z,2182163,14897,285
2026-06-22T12:11:14Z,2182621,14899,285
2026-06-23T09:48:04Z,2182808,14900,286
2026-06-24T09:37:16Z,2183079,14896,286
2026-06-25T09:28:43Z,2183381,14898,286
2026-06-26T09:33:40Z,2183705,14899,286
2026-06-27T23:12:38Z,2184047,14903,286
2026-06-28T08:57:30Z,2184110,14903,286
2026-06-29T11:07:10Z,2184334,14904,286
2026-06-30T09:43:11Z,2184504,14900,286
2026-07-01T09:54:58Z,2184858,14902,286
2026-07-02T09:17:57Z,2185050,14902,286
2026-07-03T09:23:56Z,2185299,14903,286
2026-07-04T08:41:57Z,2185627,14907,286
2026-07-05T08:56:58Z,2185924,14909,286
2026-07-06T10:43:30Z,2186196,14909,286
2026-07-07T09:48:19Z,2186409,14909,286
2026-07-08T08:34:07Z,2186608,14910,286
2026-07-09T09:46:01Z,2186919,14914,286
2026-07-10T09:41:06Z,2187245,14916,286
2026-07-11T08:01:03Z,2187396,14917,286
