date,views,likes,comments
2026-06-21T09:55:24Z,3008889,98680,7264
2026-06-22T12:11:14Z,3010898,98707,7271
2026-06-23T09:48:04Z,3012457,98728,7275
2026-06-24T09:37:16Z,3014037,98740,7291
2026-06-25T09:28:43Z,3015536,98760,7292
2026-06-26T09:33:40Z,3017049,98779,7289
2026-06-27T23:12:38Z,3019313,98810,7290
2026-06-28T08:57:30Z,3019981,98819,7294
2026-06-29T11:07:10Z,3021839,98846,7295
2026-06-30T09:43:11Z,3023384,98864,7300
2026-07-01T09:54:58Z,3024697,98882,7302
2026-07-02T09:17:57Z,3026012,98882,7302
2026-07-03T09:23:56Z,3027337,98898,7301
2026-07-04T08:41:57Z,3028989,98918,7306
2026-07-05T08:56:58Z,3030468,98926,7307
2026-07-06T10:43:30Z,3032207,98944,7310
2026-07-07T09:48:19Z,3033799,98957,7311
2026-07-08T08:34:07Z,3035366,98981,7312
2026-07-09T09:46:01Z,3037055,99003,7316
2026-07-10T09:41:06Z,3038828,99019,7317
2026-07-11T08:01:03Z,3040477,99037,7323
2026-07-12T08:22:38Z,3042578,99063,7325
2026-07-13T09:33:37Z,3044390,99086,7326
2026-07-14T08:12:14Z,3045943,99111,7330
2026-07-15T08:19:22Z,3047869,99124,7332
2026-07-16T08:19:04Z,3049717,99145,7335
2026-07-17T08:14:41Z,3051608,99166,7341
2026-07-18T07:56:46Z,3053060,99190,7344
2026-07-19T08:23:57Z,3054499,99206,7342
2026-07-20T09:20:22Z,3055951,99216,7344
2026-07-21T08:33:54Z,3057001,99226,7344
2026-07-22T08:33:44Z,3058438,99229,7344
