date,views,likes,comments
2026-06-27T23:12:38Z,71762,4639,260
2026-06-28T08:57:30Z,71773,4639,260
2026-06-29T11:07:10Z,71779,4639,260
2026-06-30T09:43:11Z,71787,4638,260
2026-07-01T09:54:58Z,71792,4638,260
2026-07-02T09:17:57Z,71801,4637,260
2026-07-03T09:23:56Z,71818,4638,260
2026-07-04T08:41:57Z,71842,4638,260
2026-07-05T08:56:58Z,71873,4638,260
2026-07-06T10:43:30Z,71894,4640,260
2026-07-07T09:48:19Z,71905,4643,260
2026-07-08T08:34:07Z,71919,4644,260
2026-07-09T09:46:01Z,71953,4644,259
2026-07-10T09:41:06Z,71972,4645,259
2026-07-11T08:01:03Z,71993,4646,259
2026-07-12T08:22:38Z,72023,4647,259
2026-07-13T09:33:37Z,72040,4648,259
