date,views,likes,comments
2026-06-21T09:55:24Z,4121785,54252,0
2026-06-22T12:11:14Z,4126682,54322,0
2026-06-23T09:48:04Z,4130568,54373,0
2026-06-24T09:37:16Z,4134810,54419,0
2026-06-25T09:28:43Z,4138723,54463,0
2026-06-26T09:33:40Z,4143074,54513,0
2026-06-27T23:12:38Z,4150938,54613,0
2026-06-28T08:57:30Z,4152768,54637,0
2026-06-29T11:07:10Z,4157839,54712,0
2026-06-30T09:43:11Z,4161823,54767,0
2026-07-01T09:54:58Z,4166050,54849,0
2026-07-02T09:17:57Z,4170391,54895,0
2026-07-03T09:23:56Z,4174877,54964,0
2026-07-04T08:41:57Z,4179430,55036,0
2026-07-05T08:56:58Z,4183995,55075,0
2026-07-06T10:43:30Z,4188727,55152,0
2026-07-07T09:48:19Z,4192817,55204,0
2026-07-08T08:34:07Z,4196429,55252,0
2026-07-09T09:46:01Z,4200157,55308,0
2026-07-10T09:41:06Z,4203421,55360,0
2026-07-11T08:01:03Z,4206614,55401,0
2026-07-12T08:22:38Z,4210260,55446,0
2026-07-13T09:33:37Z,4214043,55487,0
2026-07-14T08:12:14Z,4217368,55539,0
2026-07-15T08:19:22Z,4221032,55586,0
2026-07-16T08:19:04Z,4224552,55627,0
2026-07-17T08:14:41Z,4228238,55675,0
2026-07-18T07:56:46Z,4232368,55724,0
2026-07-19T08:23:57Z,4236559,55778,0
2026-07-20T09:20:22Z,4241099,55840,0
