date,views,likes,comments
2026-06-27T23:12:38Z,65442,3885,321
2026-06-28T08:57:30Z,65444,3885,321
2026-06-29T11:07:10Z,65456,3885,321
2026-06-30T09:43:11Z,65461,3885,321
2026-07-01T09:54:58Z,65471,3886,321
2026-07-02T09:17:57Z,65480,3886,321
2026-07-03T09:23:56Z,65493,3887,321
2026-07-04T08:41:57Z,65505,3887,321
2026-07-05T08:56:58Z,65524,3886,321
2026-07-06T10:43:30Z,65543,3888,321
2026-07-07T09:48:19Z,65554,3888,321
2026-07-08T08:34:07Z,65564,3889,321
2026-07-09T09:46:01Z,65573,3889,321
2026-07-10T09:41:06Z,65581,3890,321
2026-07-11T08:01:03Z,65591,3890,321
