date,views,likes,comments
2026-06-27T23:12:38Z,50913,2799,525
2026-06-28T08:57:30Z,50927,2800,525
2026-06-29T11:07:10Z,50959,2800,525
2026-06-30T09:43:11Z,50997,2800,525
2026-07-01T09:54:58Z,51086,2802,526
2026-07-02T09:17:57Z,51198,2802,526
2026-07-03T09:23:56Z,51330,2804,527
2026-07-04T08:41:57Z,51412,2805,527
2026-07-05T08:56:58Z,51499,2804,527
2026-07-06T10:43:30Z,51593,2804,527
2026-07-07T09:48:19Z,51661,2805,527
2026-07-08T08:34:07Z,51737,2807,527
2026-07-09T09:46:01Z,51799,2807,527
2026-07-10T09:41:06Z,51865,2809,527
2026-07-11T08:01:03Z,51922,2810,527
2026-07-12T08:22:38Z,52001,2811,527
2026-07-13T09:33:37Z,52062,2813,527
