date,views,likes,comments
2026-06-21T09:55:24Z,1536457,10858,322
2026-06-22T12:11:14Z,1537111,10861,323
2026-06-23T09:48:04Z,1537665,10867,324
2026-06-24T09:37:16Z,1538289,10863,324
2026-06-25T09:28:43Z,1538815,10870,324
2026-06-26T09:33:40Z,1539523,10874,324
2026-06-27T23:12:38Z,1540731,10883,326
2026-06-28T08:57:30Z,1540919,10883,326
2026-06-29T11:07:10Z,1541639,10887,326
2026-06-30T09:43:11Z,1542057,10887,326
2026-07-01T09:54:58Z,1542580,10890,326
2026-07-02T09:17:57Z,1543227,10896,326
2026-07-03T09:23:56Z,1543814,10907,327
2026-07-04T08:41:57Z,1544727,10912,327
2026-07-05T08:56:58Z,1545700,10920,327
2026-07-06T10:43:30Z,1546460,10920,327
2026-07-07T09:48:19Z,1547340,10931,327
2026-07-08T08:34:07Z,1547982,10939,327
2026-07-09T09:46:01Z,1548829,10948,327
2026-07-10T09:41:06Z,1549324,10948,327
2026-07-11T08:01:03Z,1550155,10953,327
2026-07-12T08:22:38Z,1550925,10961,326
2026-07-13T09:33:37Z,1551472,10965,326
2026-07-14T08:12:14Z,1551792,10967,326
2026-07-15T08:19:22Z,1552197,10967,326
