date,views,likes,comments
2026-06-21T09:55:24Z,943988,8423,388
2026-06-22T12:11:14Z,944343,8423,389
2026-06-23T09:48:04Z,944734,8423,389
2026-06-24T09:37:16Z,944998,8423,389
2026-06-25T09:28:43Z,945247,8427,389
2026-06-26T09:33:40Z,945537,8428,390
2026-06-27T23:12:38Z,946186,8430,390
2026-06-28T08:57:30Z,946337,8432,390
2026-06-29T11:07:10Z,946854,8436,390
2026-06-30T09:43:11Z,947132,8438,390
2026-07-01T09:54:58Z,947470,8439,391
2026-07-02T09:17:57Z,947784,8443,391
2026-07-03T09:23:56Z,948174,8446,391
2026-07-04T08:41:57Z,948648,8458,391
2026-07-05T08:56:58Z,949052,8462,391
2026-07-06T10:43:30Z,949387,8465,391
2026-07-07T09:48:19Z,949702,8470,391
2026-07-08T08:34:07Z,950031,8470,391
2026-07-09T09:46:01Z,950309,8475,392
2026-07-10T09:41:06Z,950642,8477,392
2026-07-11T08:01:03Z,950965,8481,392
2026-07-12T08:22:38Z,951362,8486,392
2026-07-13T09:33:37Z,951702,8490,392
2026-07-14T08:12:14Z,952041,8493,393
2026-07-15T08:19:22Z,952378,8496,393
2026-07-16T08:19:04Z,952708,8501,391
2026-07-17T08:14:41Z,953030,8503,391
2026-07-18T07:56:46Z,953425,8506,391
2026-07-19T08:23:57Z,953899,8510,391
2026-07-20T09:20:22Z,954392,8515,391
2026-07-21T08:33:54Z,954832,8515,391
2026-07-22T08:33:44Z,955233,8518,391
2026-07-23T08:34:57Z,955745,8521,391
2026-07-24T08:31:29Z,956475,8525,391
2026-07-25T08:10:18Z,957100,8529,391
2026-07-26T08:30:27Z,957877,8531,391
2026-07-27T09:57:07Z,958599,8533,391
2026-07-28T08:39:18Z,958995,8534,391
2026-07-29T08:45:24Z,959648,8539,391
2026-07-30T08:32:07Z,960205,8543,391
2026-07-31T08:53:50Z,960985,8553,391
2026-08-01T08:25:13Z,961537,8557,391
2026-08-02T08:28:03Z,962198,8563,392
2026-08-03T09:51:48Z,962769,8568,392
2026-08-04T08:42:08Z,963079,8569,393
2026-08-05T08:40:29Z,963412,8573,393
2026-08-06T08:41:27Z,963732,8576,393
2026-08-07T07:20:46Z,963978,8579,393
2026-08-08T06:58:00Z,964393,8584,393
2026-08-09T07:00:56Z,964717,8585,393
2026-08-10T07:46:54Z,965123,8586,395
2026-08-11T07:12:25Z,965352,8590,395
2026-08-12T07:36:49Z,965704,8592,395
