date,views,likes,comments
2026-06-27T23:12:38Z,60223,3499,342
2026-06-28T08:57:30Z,60228,3499,342
2026-06-29T11:07:10Z,60231,3499,342
2026-06-30T09:43:11Z,60235,3499,342
2026-07-01T09:54:58Z,60253,3499,342
2026-07-02T09:17:57Z,60266,3500,342
2026-07-03T09:23:56Z,60274,3500,342
2026-07-04T08:41:57Z,60285,3501,342
2026-07-05T08:56:58Z,60304,3499,342
2026-07-06T10:43:30Z,60321,3500,342
2026-07-07T09:48:19Z,60342,3501,342
2026-07-08T08:34:07Z,60351,3501,342
2026-07-09T09:46:01Z,60357,3502,342
2026-07-10T09:41:06Z,60364,3502,342
2026-07-11T08:01:03Z,60381,3501,342
2026-07-12T08:22:38Z,60397,3503,342
2026-07-13T09:33:37Z,60417,3505,342
2026-07-14T08:12:14Z,60435,3504,342
2026-07-15T08:19:22Z,60441,3504,342
2026-07-16T08:19:04Z,60452,3504,342
2026-07-17T08:14:41Z,60470,3506,342
2026-07-18T07:56:46Z,60479,3506,342
