date,views,likes,comments
2026-06-27T23:12:38Z,13622,840,105
2026-06-28T08:57:30Z,13622,840,105
2026-06-29T11:07:10Z,13623,840,105
2026-06-30T09:43:11Z,13626,840,105
2026-07-01T09:54:58Z,13631,840,105
2026-07-02T09:17:57Z,13636,841,105
2026-07-03T09:23:56Z,13637,841,105
2026-07-04T08:41:57Z,13639,841,105
2026-07-05T08:56:58Z,13642,841,105
2026-07-06T10:43:30Z,13643,841,105
2026-07-07T09:48:19Z,13648,841,105
2026-07-08T08:34:07Z,13649,841,105
2026-07-09T09:46:01Z,13653,841,105
2026-07-10T09:41:06Z,13654,841,105
2026-07-11T08:01:03Z,13654,841,105
2026-07-12T08:22:38Z,13658,841,105
2026-07-13T09:33:37Z,13658,841,105
