date,views,likes,comments
2026-06-27T23:12:38Z,12148,782,74
2026-06-28T08:57:30Z,12150,782,74
2026-06-29T11:07:10Z,12154,782,74
2026-06-30T09:43:11Z,12156,781,74
2026-07-01T09:54:58Z,12162,781,74
2026-07-02T09:17:57Z,12163,780,74
2026-07-03T09:23:56Z,12168,780,74
2026-07-04T08:41:57Z,12171,780,74
2026-07-05T08:56:58Z,12177,780,74
2026-07-06T10:43:30Z,12179,781,74
2026-07-07T09:48:19Z,12179,781,74
2026-07-08T08:34:07Z,12185,782,74
2026-07-09T09:46:01Z,12190,783,74
2026-07-10T09:41:06Z,12192,783,74
2026-07-11T08:01:03Z,12194,783,74
2026-07-12T08:22:38Z,12196,783,74
2026-07-13T09:33:37Z,12201,783,74
2026-07-14T08:12:14Z,12203,783,74
2026-07-15T08:19:22Z,12207,783,74
