date,views,likes,comments
2026-06-27T23:12:38Z,67172,4535,228
2026-06-28T08:57:30Z,67175,4535,228
2026-06-29T11:07:10Z,67190,4535,228
2026-06-30T09:43:11Z,67196,4536,228
2026-07-01T09:54:58Z,67207,4536,228
2026-07-02T09:17:57Z,67219,4535,228
2026-07-03T09:23:56Z,67233,4536,228
2026-07-04T08:41:57Z,67246,4536,228
2026-07-05T08:56:58Z,67264,4535,228
2026-07-06T10:43:30Z,67284,4538,228
2026-07-07T09:48:19Z,67291,4538,228
2026-07-08T08:34:07Z,67298,4539,228
2026-07-09T09:46:01Z,67323,4540,228
2026-07-10T09:41:06Z,67335,4540,228
2026-07-11T08:01:03Z,67355,4540,228
