date,views,likes,comments
2026-06-27T23:12:38Z,79455,4992,261
2026-06-28T08:57:30Z,79470,4992,261
2026-06-29T11:07:10Z,79479,4992,261
2026-06-30T09:43:11Z,79488,4991,261
2026-07-01T09:54:58Z,79502,4992,261
2026-07-02T09:17:57Z,79539,4992,261
2026-07-03T09:23:56Z,79563,4993,261
2026-07-04T08:41:57Z,79594,4994,261
2026-07-05T08:56:58Z,79621,4993,261
2026-07-06T10:43:30Z,79642,4994,261
2026-07-07T09:48:19Z,79660,4994,261
2026-07-08T08:34:07Z,79693,4994,261
2026-07-09T09:46:01Z,79725,4995,261
2026-07-10T09:41:06Z,79747,4994,261
2026-07-11T08:01:03Z,79769,4995,261
2026-07-12T08:22:38Z,79797,4996,261
2026-07-13T09:33:37Z,79812,4995,261
